fCF4,CF3 >11.5,Err CF3 >11.5,CF3 >12.5,Err CF3 >12.5,CF3 >14.5,Err CF3 >14.5
0.001,0.1885,0.0043416587103492,0.17320000000000002,0.0041617302899378174,0.0711,0.0026664583626703074
0.002,0.3965,0.006296826065572431,0.36049999999999993,0.006004166481283125,0.1505,0.0038794326721146226
0.005,0.9768,0.009883320904406398,0.8886,0.009426560879520927,0.3825,0.006184659260394147
0.01,1.9445000000000001,0.013944537462950874,1.7671000000000003,0.01329323590294597,0.7604000000000001,0.008720090648342362
0.02,3.8673999999999995,0.019665708207144524,3.5088999999999997,0.018732058963390245,1.4889999999999999,0.01220246634640531
0.05,9.412600000000001,0.03067995462762817,8.5669,0.02926926887880603,3.5947999999999998,0.018959961646708007
0.1,18.286599999999996,0.0427628516383819,16.6302,0.04078015874513677,6.922,0.026309710000473704
0.2,34.697300000000006,0.05890437799889565,31.514499999999998,0.05613774323917311,12.908700000000001,0.035928674430245396
0.5,78.9888,0.08887589627997908,71.3751,0.08448398288529123,27.390300000000003,0.05233559785762391
1.0,152.11509999999998,0.12333445045876601,136.011,0.1166230924186093,47.41709999999999,0.06886014410683843
