concentration,electric_field,gap_mm,pressure,ne,ni,Ar_696,ErrAr_696,Ar_727,ErrAr_727,Ar_750,ErrAr_750,Ar_763,ErrAr_763,Ar_772,ErrAr_772,Ar_794,ErrAr_794
0.0,60.0,0.0901,1.0,10019.18,10018.17,97.06672601949461,0.09842809986843809,97.06672601949461,0.09842809986843809,110.3299870847714,0.10493749533228766,110.3299870847714,0.10493749533228766,97.06672601949461,0.09842809986843809,103.52364165530513,0.10164913350170394
0.0,70.0,0.0722,1.0,9861.54,9860.51,85.57781036227607,0.0931554385659055,85.57781036227607,0.0931554385659055,97.21645909259608,0.09928817522640207,97.21645909259608,0.09928817522640207,85.57781036227607,0.0931554385659055,91.26485315680917,0.09620096076117446
0.0,80.0,0.0602,1.0,9534.66,9533.48,77.20117969597239,0.08998277096736658,77.20117969597239,0.08998277096736658,87.56358380896644,0.09583169254158067,87.56358380896644,0.09583169254158067,77.20117969597239,0.08998277096736658,82.23345142878718,0.09286918915833628
0.0,90.0,0.0516,1.0,9172.52,9171.16,70.46733067902822,0.08764952697027219,70.46733067902822,0.08764952697027219,79.8568986494442,0.0933064972481327,79.8568986494442,0.0933064972481327,70.46733067902822,0.08764952697027219,75.04044690008853,0.0904489172202957
1.0,60.0,0.0914,1.0,9402.6,9401.57,96.352604598728,0.10122965319475452,96.352604598728,0.10122965319475452,109.61574458128602,0.10797233378728295,109.61574458128602,0.10797233378728295,96.352604598728,0.10122965319475452,102.7783804479612,0.10455069026410667
1.0,70.0,0.0731,1.0,10007.49,10006.44,84.92688975957009,0.0921212934817741,84.92688975957009,0.0921212934817741,96.38450800350537,0.09813886591883292,96.38450800350537,0.09813886591883292,84.92688975957009,0.0921212934817741,90.51940096867446,0.0951060737707201
1.0,80.0,0.0608,1.0,9524.94,9523.77,76.93497281872641,0.08987331851410617,76.93497281872641,0.08987331851410617,87.3016522938727,0.0957370645876169,87.3016522938727,0.0957370645876169,76.93497281872641,0.08987331851410617,82.0012514514527,0.09278528709393938
1.0,90.0,0.0519,1.0,9641.9,9640.45,70.11252968813201,0.08527397483034035,70.11252968813201,0.08527397483034035,79.44834524315748,0.0907739254509047,79.44834524315748,0.0907739254509047,70.11252968813201,0.08527397483034035,74.68642072620541,0.08801151805652266
10.0,60.0,0.1071,1.0,10547.21,10546.17,92.088997943532,0.09344048351828493,92.088997943532,0.09344048351828493,104.70114845537351,0.09963385315136893,104.70114845537351,0.09963385315136893,92.088997943532,0.09344048351828493,98.19952385512379,0.09649079718287956
10.0,70.0,0.0832,1.0,8932.84,8931.77,81.07287268102866,0.09526711274582055,81.07287268102866,0.09526711274582055,92.04732201629045,0.10151046128760197,92.04732201629045,0.10151046128760197,81.07287268102866,0.09526711274582055,86.42548170570613,0.09836172280621866
10.0,80.0,0.0678,1.0,10009.53,10008.32,73.04249050654725,0.0854242045838192,73.04249050654725,0.0854242045838192,82.82346923382016,0.09096406632129146,82.82346923382016,0.09096406632129146,73.04249050654725,0.0854242045838192,77.8097473108128,0.08816783156109509
10.0,90.0,0.0572,1.0,8501.87,8500.52,66.67933054727959,0.08856015856376218,66.67933054727959,0.08856015856376218,75.57196240356532,0.09428076981187315,75.57196240356532,0.09428076981187315,66.67933054727959,0.08856015856376218,71.04660504100862,0.0914143625128098
100.0,70.0,0.303,1.0,10023.62,10022.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100.0,80.0,0.2124,1.0,10534.59,10532.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100.0,90.0,0.1587,1.0,8426.04,8424.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
