concentration,electric_field,gap_mm,pressure,ne,ni,Ar_727,ErrAr_727
100.0,70.0,0.303,1.0,10023.62,10022.29,0.0,0.0
100.0,80.0,0.2124,1.0,10534.59,10532.98,0.0,0.0
100.0,90.0,0.1587,1.0,8426.04,8424.08,0.0,0.0
0.0,60.0,0.0901,1.0,10019.18,10018.17,97.06672601949461,0.09842809986843809
0.0,70.0,0.0722,1.0,9861.54,9860.51,85.57781036227607,0.0931554385659055
0.0,80.0,0.0602,1.0,9534.66,9533.48,77.20117969597239,0.08998277096736658
0.0,90.0,0.0516,1.0,9172.52,9171.16,70.46733067902822,0.08764952697027219
10.0,60.0,0.1071,1.0,10547.21,10546.17,92.088997943532,0.09344048351828493
10.0,70.0,0.0832,1.0,8932.84,8931.77,81.07287268102866,0.09526711274582055
10.0,80.0,0.0678,1.0,10009.53,10008.32,73.04249050654725,0.0854242045838192
10.0,90.0,0.0572,1.0,8501.87,8500.52,66.67933054727959,0.08856015856376218
1.0,60.0,0.0914,1.0,9402.6,9401.57,96.352604598728,0.10122965319475452
1.0,70.0,0.0731,1.0,10007.49,10006.44,84.92688975957009,0.0921212934817741
1.0,80.0,0.0608,1.0,9524.94,9523.77,76.93497281872641,0.08987331851410617
1.0,90.0,0.0519,1.0,9641.9,9640.45,70.11252968813201,0.08527397483034035
