file,electric_field,pressure,gap,gas1,concentration_gas_1,gas2,concentration_gas_2,concentration,ne_mean,ne_std,ni_mean,ni_std,n_entries
ar_95.0_cf4_5.0_37.8kVcm_1.000bar_0.0500mm_1000npe.root,37.8,1.0,0.05,ar,95.0,cf4,5.0,5.0,9.37,6.7211810178177975,8.475,6.775786765113427,1000
ar_95.0_cf4_5.0_40.0kVcm_1.000bar_0.0901mm_500npe.root,40.0,1.0,0.0901,ar,95.0,cf4,5.0,5.0,91.756,66.82553230266909,91.792,67.52561108427386,500
ar_95.0_cf4_5.0_60.0kVcm_1.000bar_0.0461mm_500npe.root,60.0,1.0,0.0461,ar,95.0,cf4,5.0,5.0,94.26,59.28684728100359,93.632,59.46754875315964,500
ar_95.0_cf4_5.0_65.0kVcm_1.0bar_0.0500mm_1000npe.root,65.0,1.0,0.05,ar,95.0,cf4,5.0,5.0,281.726,166.50028609365592,281.598,166.97782484506735,1000
ar_95.0_cf4_5.0_70.0kVcm_1.000bar_0.0369mm_500npe.root,70.0,1.0,0.0369,ar,95.0,cf4,5.0,5.0,98.142,57.954043675628995,97.366,58.06354100110649,500
ar_95.0_cf4_5.0_80.0kVcm_1.000bar_0.0307mm_500npe.root,80.0,1.0,0.0307,ar,95.0,cf4,5.0,5.0,95.658,53.31636057167835,94.838,53.37705477030279,500
ar_95.0_cf4_5.0_90.0kVcm_1.000bar_0.0262mm_500npe.root,90.0,1.0,0.0262,ar,95.0,cf4,5.0,5.0,96.73,53.63792645422283,95.838,53.681609386946896,500
ar_99.0_cf4_1.0_110.0kVcm_1.000bar_0.0201mm_500npe.root,110.0,1.0,0.0201,ar,99.0,cf4,1.0,1.0,93.354,45.77794145489393,92.352,45.770404803888546,500
ar_99.0_cf4_1.0_40.0kVcm_1.000bar_0.0872mm_500npe.root,40.0,1.0,0.0872,ar,99.0,cf4,1.0,1.0,89.45,64.94304194750035,88.63,65.03537730036786,500
ar_99.0_cf4_1.0_60.0kVcm_1.000bar_0.0452mm_500npe.root,60.0,1.0,0.0452,ar,99.0,cf4,1.0,1.0,97.44,63.41423444511903,96.506,63.45656337109456,500
ar_99.0_cf4_1.0_70.0kVcm_1.000bar_0.0362mm_500npe.root,70.0,1.0,0.0362,ar,99.0,cf4,1.0,1.0,95.012,57.712575221327235,94.072,57.733049686051615,500
ar_99.0_cf4_1.0_80.0kVcm_1.000bar_0.0302mm_500npe.root,80.0,1.0,0.0302,ar,99.0,cf4,1.0,1.0,96.89,54.03084827328052,95.902,54.04407386420531,500
ar_99.0_cf4_1.0_90.0kVcm_1.000bar_0.0259mm_500npe.root,90.0,1.0,0.0259,ar,99.0,cf4,1.0,1.0,97.298,52.69313360066295,96.318,52.698454723649355,500
cf4_100.0_ar_0.0_10.0kVcm_0.025bar_0.5700mm_50npe.root,10.0,0.025,0.57,cf4,100.0,ar,0.0,100.0,34679.38,13657.814007552526,34468.1,13577.52470339968,50
cf4_100.0_ar_0.0_10.0kVcm_1.0bar_0.5700mm_1000npe.root,10.0,1.0,0.57,cf4,100.0,ar,0.0,100.0,0.435,0.4960050614873007,0.0,0.0,1000
cf4_100.0_ar_0.0_110.0kVcm_1.000bar_0.0250mm_500npe.root,110.0,1.0,0.025,cf4,100.0,ar,0.0,100.0,92.312,51.098226127986614,93.082,52.02707862084551,500
cf4_100.0_ar_0.0_40.0kVcm_1.000bar_0.5086mm_500npe.root,40.0,1.0,0.5086,cf4,100.0,ar,0.0,100.0,88.158,143.39833751618184,178.658,284.19507158539335,500
cf4_100.0_ar_0.0_55.9kVcm_1.000bar_0.0500mm_1000npe.root,55.9,1.0,0.05,cf4,100.0,ar,0.0,100.0,9.768,8.280624659090927,10.113,8.880714954219513,1000
cf4_100.0_ar_0.0_60.0kVcm_1.000bar_0.0813mm_500npe.root,60.0,1.0,0.0813,cf4,100.0,ar,0.0,100.0,89.368,73.94725802854273,98.914,81.73618667655624,500
cf4_100.0_ar_0.0_70.0kVcm_1.000bar_0.0559mm_500npe.root,70.0,1.0,0.0559,cf4,100.0,ar,0.0,100.0,89.29,64.63734115620387,94.488,68.59872758917405,500
cf4_100.0_ar_0.0_80.0kVcm_1.000bar_0.0428mm_500npe.root,80.0,1.0,0.0428,cf4,100.0,ar,0.0,100.0,88.768,61.3843159486931,91.91,63.84234951176503,500
cf4_100.0_ar_0.0_90.0kVcm_1.000bar_0.0347mm_500npe.root,90.0,1.0,0.0347,cf4,100.0,ar,0.0,100.0,92.512,58.37177729664859,94.402,60.02451399687567,500
cf4_100.0_ar_0.0_95.0kVcm_1.0bar_0.0500mm_1000npe.root,95.0,1.0,0.05,cf4,100.0,ar,0.0,100.0,1377.555,839.7829447954806,1415.164,862.95509187593,1000
