,N,P1,P2,P3,K1,K2,K3,K4,K5
value,0.007637101103263573,0.09625093293496921,0.205588113979995,0.03753244639811915,0.025955286444424987,0.07000000000000002,0.29051562867609304,6.238257428617924,0.6706425375234699
uncertainty,0.0003460097272258814,0.006144001250704468,0.011292323826332634,0.002091220140440823,0.007715892461603044,0.030148669254215416,0.018582359876786973,3.451038167203221,0.08683130967018547
