,N,P1,P2,P3,K1,K2,K3,K4,K5
N,1.0,-0.9985296212201796,-0.8966491399899311,4.033143654452706e-09,-0.06678590415712368,-0.015694732550812645,-0.5647366139414511,0.6551427857591259,-0.417867567859546
P1,-0.9985296212201799,1.0,0.8947515227950749,-0.0009624947108319178,0.06668770358085994,0.015671655349114973,0.5639062372081242,-0.6541794777091934,0.4172531442549902
P2,-0.8966491399899306,0.8947515227950741,1.0,0.3909011683581089,0.05988352352593499,0.014072668444058105,0.5063705992114276,-0.5874332154215276,0.37468059535094594
P3,4.033144654869862e-09,-0.0009624947108329484,0.3909011683581079,1.0,-2.6935705901042685e-10,-6.329916214529591e-11,-2.27766449537531e-09,2.6422855969050262e-09,-1.6853201963626184e-09
K1,-0.0667859041571223,0.06668770358085842,0.059883523525933666,-2.6935693058338325e-10,1.0,0.21082876176630333,0.2030384063616984,-0.5137264542803706,0.7502550974457536
K2,-0.015694732550811906,0.01567165534911373,0.014072668444057215,-6.329905058266876e-11,0.21082876176630264,1.0,0.7218753693534711,-0.1579963976593934,-0.1163098678563366
K3,-0.5647366139414506,0.5639062372081233,0.5063705992114274,-2.2776637596098664e-09,0.2030384063616984,0.7218753693534716,0.9999999999999999,-0.5090547985021187,0.04532352656494219
K4,0.6551427857591253,-0.6541794777091924,-0.5874332154215274,2.642284828216984e-09,-0.5137264542803714,-0.15799639765939416,-0.5090547985021188,1.0000000000000002,-0.561798135841837
K5,-0.41786756785954504,0.4172531442549894,0.3746805953509453,-1.6853197888450615e-09,0.7502550974457546,-0.1163098678563354,0.045323526564942804,-0.5617981358418371,0.9999999999999999
