concentration,electric_field,gap_mm,pressure,ne,ni,CF3,ErrCF3
80.0,36.6,0.57,1.0,96.72,193.45,35.26674937965261,0.6038437448490007
80.0,46.6,0.05,0.2,97.33,96.35,12.339463680263023,0.35606130589054674
80.0,5.2,0.57,0.05,148.93,150.46,15.759081447659973,0.32529272849766533
80.0,71.2,0.05,1.0,111.95,116.96,16.96292987941045,0.3892587506833573
50.0,273.0,0.57,10.0,118.38,920.3,67.64656191924311,0.7559336820813345
50.0,31.3,0.57,1.0,150.14,261.31,15.165845211136274,0.3178228397612935
50.0,314.6,0.05,10.0,79.9,142.02,15.707133917396744,0.4433789633020863
50.0,45.7,0.05,0.2,106.18,105.04,6.875117724618572,0.254459523189043
50.0,5.2,0.57,0.05,252.93,254.66,7.780808919463883,0.17539297839575246
50.0,65.8,0.05,1.0,97.7,99.96,9.078812691914022,0.3048366962504694
20.0,197.2,0.57,10.0,199.83,1128.14,15.868488214982735,0.28179769254468473
20.0,24.4,0.57,1.0,96.11,135.68,3.912183955883883,0.20175548256857057
20.0,248.3,0.05,10.0,87.1,118.52,3.490241102181401,0.20017905596053612
20.0,4.6,0.57,0.05,151.09,150.89,2.912171553378781,0.13883233148059454
20.0,45.5,0.05,0.2,99.83,98.69,2.6745467294400482,0.1636796017065831
20.0,60.0,0.05,1.0,99.82,100.51,2.9753556401522743,0.17264764515742423
15.0,22.7,0.57,1.0,125.81,167.76,2.6865908910261505,0.14613127979373844
15.0,4.7,0.57,0.05,182.7,182.41,1.986863711001642,0.10428329985362698
15.0,44.9,0.05,0.2,97.26,95.98,1.974090067859346,0.142467679010395
15.0,59.3,0.05,1.0,96.67,96.94,2.0999275887038378,0.14738602305549814
10.0,20.9,0.57,1.0,88.09,110.99,1.7141559768418662,0.13949603504875135
10.0,4.5,0.57,0.05,127.16,126.62,1.2268008807801196,0.09822268006288767
10.0,45.0,0.05,0.2,108.08,106.84,1.2305699481865284,0.10670394702693187
10.0,57.9,0.05,1.0,94.77,94.66,1.2873272132531393,0.11654912965270932
5.0,133.1,0.57,10.0,82.17,242.53,1.7159547280029208,0.14450945706508356
5.0,19.4,0.57,1.0,110.63,123.83,0.7321702973876887,0.08135225526529875
5.0,202.0,0.05,10.0,105.93,116.66,0.6608137449258944,0.07898234933768296
5.0,4.2,0.57,0.05,92.58,91.74,0.8317131129833657,0.09478250580462436
5.0,44.5,0.05,0.2,99.26,98.11,0.6850695144066089,0.083076881434972
5.0,56.8,0.05,1.0,88.4,87.88,0.6334841628959276,0.08465288205370908
2.0,114.2,0.57,10.0,228.55,396.81,0.42003937869175234,0.04287008956960276
2.0,18.1,0.57,1.0,101.24,106.39,0.2173054128802845,0.046329669694028346
2.0,187.0,0.05,10.0,85.76,89.52,0.2915111940298507,0.058302238805970144
