concentration,electric_field,gap_mm,pressure,ne,ni,Ar_3rd,ErrAr_3rd
1.0,297.0,0.0156,10.0,110.72,110.28,0.0,0.0
1.0,3.5,0.7054,0.05,75.28,74.3,0.0,0.0
1.0,3.5,0.7054,0.05,75.28,74.3,0.0,0.0
1.0,3.9,0.6076,0.05,82.84,81.85,0.0,0.0
1.0,3.9,0.6076,0.05,82.84,81.85,0.0,0.0
1.0,31.6,0.1143,0.05,128.21,124.03,2.456906637547773,0.13843100654628226
1.0,31.6,0.1143,0.05,128.21,124.03,2.456906637547773,0.13843100654628226
1.0,31.6,0.1361,1.0,111.17,110.55,0.0,0.0
1.0,316.2,0.0074,1.0,84.37,82.66,0.8296787957804906,0.09916558332749502
1.0,316.2,0.0137,10.0,104.04,103.48,0.0,0.0
1.0,340.3,0.0118,10.0,102.93,102.22,0.0,0.0
1.0,35.1,0.1129,1.0,114.39,113.72,0.0,0.0
1.0,351.1,0.0112,10.0,109.45,108.68,0.0,0.0
1.0,354.8,0.0108,10.0,81.69,80.89,0.0,0.0
1.0,366.1,0.0103,10.0,107.79,107.09,0.0,0.0
1.0,389.9,0.006,1.0,63.32,61.7,0.9791535060012634,0.12435261961484224
1.0,389.9,0.009,10.0,88.79,87.94,0.0,0.0
1.0,389.9,0.0093,10.0,98.72,97.97,0.0,0.0
1.0,398.1,0.0086,10.0,94.85,94.0,0.0,0.0
1.0,4.1,0.57,0.05,81.03,80.05,0.0,0.0
1.0,4.1,0.57,0.05,81.03,80.05,0.0,0.0
1.0,423.9,0.008,10.0,95.94,95.16,0.0,0.0
1.0,43.3,0.1078,0.05,133.17,128.05,3.003679507396561,0.15018397536982805
1.0,43.3,0.1078,0.05,133.17,128.05,3.003679507396561,0.15018397536982805
1.0,43.3,0.075,1.0,93.34,92.55,0.0,0.0
1.0,432.9,0.0077,10.0,94.12,93.31,0.0,0.0
1.0,44.1,0.05,0.2,96.89,95.54,0.3612343895138817,0.061059756250383075
1.0,446.7,0.007,10.0,77.95,77.14,0.0,0.0
1.0,48.1,0.0638,1.0,108.64,107.78,0.0,0.0
1.0,480.6,0.0065,10.0,112.19,111.33,0.0,0.0
1.0,490.8,0.0062,10.0,109.39,108.57,0.0,0.0
1.0,5.3,0.4023,0.05,82.31,81.32,0.0,0.0
1.0,5.3,0.4023,0.05,82.31,81.32,0.0,0.0
1.0,501.2,0.0056,10.0,72.17,71.26,0.0,0.0
1.0,533.7,0.0046,1.0,40.45,38.76,1.6810877626699627,0.203861835630045
1.0,533.7,0.0055,10.0,97.41,96.51,0.0,0.0
1.0,54.8,0.05,1.0,88.69,87.78,0.0,0.0
1.0,562.3,0.0046,10.0,70.07,69.17,0.0,0.0
1.0,568.3,0.005,10.0,104.33,103.38,0.0,0.0
1.0,59.3,0.0456,1.0,94.61,93.72,0.0,0.0
1.0,592.6,0.0047,10.0,109.64,108.67,0.0,0.0
1.0,6.6,0.3175,0.05,79.46,78.46,0.025169896803423106,0.017797804711466088
1.0,6.6,0.3175,0.05,79.46,78.46,0.025169896803423106,0.017797804711466088
1.0,65.8,0.1059,0.05,112.09,106.23,4.184137746453742,0.19320552973242675
1.0,65.8,0.1059,0.05,112.09,106.23,4.184137746453742,0.19320552973242675
1.0,65.8,0.0393,1.0,86.17,85.24,0.0,0.0
1.0,657.9,0.004,10.0,103.92,102.99,0.0,0.0
1.0,730.5,0.0036,1.0,21.13,19.55,2.69758637008992,0.3573040433161737
1.0,761.8,0.0032,10.0,99.04,98.12,0.0,0.0
1.0,8.1,0.2562,0.05,72.19,71.11,0.1246710070646904,0.0415570023548968
1.0,8.1,0.2562,0.05,72.19,71.11,0.1246710070646904,0.0415570023548968
1.0,81.1,0.0298,1.0,103.19,102.21,0.0,0.0
1.0,882.0,0.0026,10.0,95.21,94.21,0.0,0.0
1.0,97.9,0.6667,10.0,52.1,87.72,0.0,0.0
0.5,17.4,0.57,1.0,97.5,97.91,0.0,0.0
0.5,184.5,0.05,10.0,124.21,124.77,0.0,0.0
0.5,4.5,0.57,0.05,156.94,155.95,0.006371861858034918,0.006371861858034918
0.5,44.3,0.05,0.2,98.01,96.79,0.22446689113355778,0.047856501987791344
0.5,55.9,0.05,1.0,94.27,93.33,0.0,0.0
0.5,96.8,0.57,10.0,84.3,104.67,0.0,0.0
0.2,17.3,0.57,1.0,93.3,92.98,0.0,0.0
