concentration,electric_field,gap_mm,pressure,ne,ni,Ar_750,ErrAr_750
80.0,36.6,0.57,1.0,96.72,193.45,94.46856906534326,0.9882925569359242
80.0,46.6,0.05,0.2,97.33,96.35,9.811979862324053,0.31750821206950464
80.0,5.2,0.57,0.05,148.93,150.46,19.88853823944135,0.36543516616364136
80.0,71.2,0.05,1.0,111.95,116.96,27.682000893255918,0.4972636233931855
50.0,273.0,0.57,10.0,118.38,920.3,1064.1240074336881,2.9981748227145553
50.0,31.3,0.57,1.0,150.14,261.31,205.2284534434528,1.169150932648672
50.0,314.6,0.05,10.0,79.9,142.02,214.56821026282853,1.6387371517730072
50.0,45.7,0.05,0.2,106.18,105.04,24.50555660199661,0.4804087679358391
50.0,5.2,0.57,0.05,252.93,254.66,42.77468074170719,0.4112379791916374
50.0,65.8,0.05,1.0,97.7,99.96,65.46571136131013,0.8185772373851466
20.0,197.2,0.57,10.0,199.83,1128.14,1663.3138167442326,2.8850726474865835
20.0,24.4,0.57,1.0,96.11,135.68,318.0106128394548,1.8190159963791654
20.0,248.3,0.05,10.0,87.1,118.52,304.2709529276694,1.8690510768801958
20.0,4.6,0.57,0.05,151.09,150.89,66.27175855450393,0.6622872386572248
20.0,45.5,0.05,0.2,99.83,98.69,36.45196834618852,0.6042685017271631
20.0,60.0,0.05,1.0,99.82,100.51,95.29152474454018,0.9770535235613392
15.0,22.7,0.57,1.0,125.81,167.76,336.1894920912487,1.634686538823339
15.0,4.7,0.57,0.05,182.7,182.41,67.96934865900384,0.6099402317081393
15.0,44.9,0.05,0.2,97.26,95.98,37.88813489615463,0.6241435414672502
15.0,59.3,0.05,1.0,96.67,96.94,99.4310541015827,1.0141802816821055
10.0,20.9,0.57,1.0,88.09,110.99,379.4074242252242,2.075341676000526
10.0,4.5,0.57,0.05,127.16,126.62,73.14407046240956,0.7584279036570892
10.0,45.0,0.05,0.2,108.08,106.84,38.249444855662475,0.5948944265610108
10.0,57.9,0.05,1.0,94.77,94.66,104.51619710878971,1.0501621450287697
5.0,133.1,0.57,10.0,82.17,242.53,1825.7393209200438,4.713708708231114
5.0,19.4,0.57,1.0,110.63,123.83,382.36463888637803,1.8590985183119861
5.0,202.0,0.05,10.0,105.93,116.66,363.4664401019541,1.8523483914775225
5.0,4.2,0.57,0.05,92.58,91.74,80.30892201339383,0.9313722840699855
5.0,44.5,0.05,0.2,99.26,98.11,41.78924037880314,0.6488511863028256
5.0,56.8,0.05,1.0,88.4,87.88,113.64253393665157,1.1338205441923823
2.0,114.2,0.57,10.0,228.55,396.81,1455.4758258586742,2.5235498343820795
2.0,18.1,0.57,1.0,101.24,106.39,410.6677202686685,2.014045211526343
2.0,187.0,0.05,10.0,85.76,89.52,393.1203358208955,2.141018248334798
2.0,4.5,0.57,0.05,143.69,142.86,79.39313800542836,0.743324096197018
2.0,45.3,0.05,0.2,110.82,109.47,40.994405341996035,0.6082095325023955
2.0,56.5,0.05,1.0,104.65,103.91,112.99569995222168,1.0391095638285497
1.0,0.8,13.8938,0.05,77.86,80.08,476.3293090161829,2.4734119389582965
1.0,0.8,13.8938,0.05,77.86,80.08,476.3293090161829,2.4734119389582965
1.0,1.0,8.1726,0.05,90.2,90.97,353.3259423503326,1.9791763565804705
1.0,1.0,8.1726,0.05,90.2,90.97,353.3259423503326,1.9791763565804705
1.0,1.4,3.9348,0.05,122.6,122.44,236.05220228384994,1.3875824337573097
1.0,1.4,3.9348,0.05,122.6,122.44,236.05220228384994,1.3875824337573097
