concentration,electric_field,gap_mm,pressure,ne,ni,CF4,ErrCF4,Ar_dbleStar,ErrAr_dbleStar,CF3,ErrCF3,Ar_3rd,ErrAr_3rd,Ar_696,ErrAr_696,Ar_727,ErrAr_727,Ar_750,ErrAr_750,Ar_763,ErrAr_763,Ar_772,ErrAr_772,Ar_794,ErrAr_794
0.1,4.3,0.57,0.05,120.24,119.24,0.07485029940119761,0.0249500998003992,128.87558216899535,1.0352871802791375,0.016633399866932803,0.011761589840095602,0.008316699933466402,0.008316699933466402,70.32601463739189,0.7647747127460179,70.32601463739189,0.7647747127460179,79.90685296074518,0.8152063043807616,79.90685296074518,0.8152063043807616,70.32601463739189,0.7647747127460179,75.06653359946773,0.7901302645717646
0.1,17.2,0.57,1.0,92.13,91.4,0.054271138608488007,0.024270791028978507,890.0032562683166,3.108101995847095,0.0,0.0,0.0,0.0,368.4359057853034,1.9997717925412406,368.4359057853034,1.9997717925412406,427.1247150765223,2.153162539848253,427.1247150765223,2.153162539848253,368.4359057853034,1.9997717925412406,395.9947899706936,2.0732143224827775
0.1,44.5,0.05,0.2,97.4,96.13,0.061601642710472276,0.02514876532631599,64.31211498973306,0.8125814758689682,0.02053388090349076,0.014519646430935267,0.27720739219712526,0.05334858750212147,37.474332648870636,0.6202795674329862,37.474332648870636,0.6202795674329862,41.72484599589322,0.6545124209654714,41.72484599589322,0.6545124209654714,37.474332648870636,0.6202795674329862,39.40451745379877,0.6360533265598989
0.1,55.6,0.05,1.0,87.55,86.56,0.03426613363792119,0.019783561479941487,194.75728155339806,1.4914846112366231,0.045688178183894916,0.022844089091947458,0.0,0.0,105.10565391205026,1.095683102460349,105.10565391205026,1.095683102460349,119.2233009708738,1.1669506650271697,119.2233009708738,1.1669506650271697,105.10565391205026,1.095683102460349,112.2215876641919,1.1321660537749292
0.1,95.4,0.57,10.0,218.4,226.79,0.07326007326007326,0.018315018315018316,3812.197802197802,4.177932280678006,0.027472527472527472,0.011215612375380851,0.0,0.0,1077.5869963369962,2.2212623423369906,1077.5869963369962,2.2212623423369906,1288.0906593406594,2.4285491562468007,1288.0906593406594,2.4285491562468007,1077.5869963369962,2.2212623423369906,1172.4175824175825,2.316940304303691
0.1,180.8,0.05,10.0,92.45,91.68,0.02163331530557058,0.015297063952115685,806.5873445105462,2.953739862046041,0.01081665765278529,0.01081665765278529,0.0,0.0,338.71281773931855,1.9140900167172046,338.71281773931855,1.9140900167172046,392.7744726879394,2.061190676725156,392.7744726879394,2.061190676725156,338.71281773931855,1.9140900167172046,363.980530016225,1.984200792627814
0.2,4.3,0.57,0.05,114.92,113.9,0.06961364427427776,0.02461213996472494,129.69892098851375,1.062356728484602,0.01740341106856944,0.01230606998236247,0.01740341106856944,0.01230606998236247,72.16324399582318,0.7924287347455247,72.16324399582318,0.7924287347455247,81.81343543334494,0.8437513993405777,81.81343543334494,0.8437513993405777,72.16324399582318,0.7924287347455247,76.89697180647407,0.8180066045809968
0.2,17.3,0.57,1.0,93.3,92.98,0.11789924973204716,0.035547961311419074,889.871382636656,3.0883235871862613,0.010718113612004287,0.010718113612004287,0.0,0.0,367.9849946409432,1.9859770844786748,367.9849946409432,1.9859770844786748,427.53483386923904,2.140646379601237,427.53483386923904,2.140646379601237,367.9849946409432,1.9859770844786748,395.3590568060022,2.0585196837488797
0.2,44.3,0.05,0.2,101.32,100.02,0.1381760757994473,0.036929109620745575,64.97236478484011,0.8007865062986249,0.009869719699960523,0.009869719699960523,0.29609159099881566,0.05405868115921498,37.34701934465061,0.6071281681496131,37.34701934465061,0.6071281681496131,41.99565732333202,0.6438053792854495,41.99565732333202,0.6438053792854495,37.34701934465061,0.6071281681496131,39.636794315041456,0.6254630682098247
0.2,56.3,0.05,1.0,103.95,102.97,0.0962000962000962,0.030421141511961323,188.45598845598846,1.3464577311950905,0.02886002886002886,0.016662345431158028,0.0,0.0,102.17412217412218,0.9914212213943644,102.17412217412218,0.9914212213943644,115.7960557960558,1.0554426420783023,115.7960557960558,1.0554426420783023,102.17412217412218,0.9914212213943644,109.38912938912938,1.0258286782147894
