concentration,electric_field,gap_mm,pressure,ne,ni,CF4,ErrCF4
1.0,2.3,1.3952,0.05,111.59,110.76,0.4570301998386952,0.06399702866334663
1.0,2.3,1.3967,0.05,105.4,104.51,0.49335863377609107,0.06841653274125216
1.0,2.3,1.3967,0.05,105.4,104.51,0.49335863377609107,0.06841653274125216
1.0,208.1,0.0107,1.0,101.78,100.55,0.7761839261151503,0.08732751441654145
1.0,223.9,0.0299,10.0,111.53,111.75,0.3855464897337039,0.05879528848114409
1.0,226.2,0.0291,10.0,125.39,125.79,0.5423079990429859,0.06576450475504682
1.0,231.0,0.0096,1.0,97.97,96.72,0.694090027559457,0.08417077933280924
1.0,25.7,0.2222,1.0,115.82,115.86,0.5007770678639268,0.06575525043916343
1.0,251.2,0.0227,10.0,109.4,109.36,0.4753199268738574,0.06591501417667256
1.0,259.2,0.0211,10.0,100.27,99.95,0.47870748977760047,0.06909547452154692
1.0,28.5,0.118,0.05,125.01,121.53,0.9679225661947044,0.08799296056315495
1.0,28.5,0.118,0.05,125.01,121.53,0.9679225661947044,0.08799296056315495
1.0,281.8,0.0175,10.0,109.63,109.29,0.3922284046337681,0.05981427095048801
1.0,284.8,0.008,1.0,87.39,85.93,0.7209062821833162,0.09082565434481946
1.0,297.0,0.0156,10.0,110.72,110.28,0.4877167630057804,0.06636984490922629
1.0,3.5,0.7054,0.05,75.28,74.3,0.5844845908607864,0.08811436743770988
1.0,3.5,0.7054,0.05,75.28,74.3,0.5844845908607864,0.08811436743770988
1.0,3.9,0.6076,0.05,82.84,81.85,0.48285852245292127,0.07634663592873925
1.0,3.9,0.6076,0.05,82.84,81.85,0.48285852245292127,0.07634663592873925
1.0,31.6,0.1143,0.05,128.21,124.03,0.9359644333515326,0.0854414721948625
1.0,31.6,0.1143,0.05,128.21,124.03,0.9359644333515326,0.0854414721948625
1.0,31.6,0.1361,1.0,111.17,110.55,0.44976162633804084,0.06360589918022376
1.0,316.2,0.0074,1.0,84.37,82.66,0.9007941211331041,0.10332817218301941
1.0,316.2,0.0137,10.0,104.04,103.48,0.5478662053056517,0.0725666516269776
1.0,340.3,0.0118,10.0,102.93,102.22,0.5149130477023219,0.07072874661692916
1.0,35.1,0.1129,1.0,114.39,113.72,0.45458519101320044,0.06303962366402638
1.0,351.1,0.0112,10.0,109.45,108.68,0.38373686614892644,0.05921188395073422
1.0,354.8,0.0108,10.0,81.69,80.89,0.29379360998898274,0.05997036951360455
1.0,366.1,0.0103,10.0,107.79,107.09,0.5473606085907783,0.07126028154623441
1.0,389.9,0.006,1.0,63.32,61.7,0.7580543272267846,0.10941571747118618
1.0,389.9,0.009,10.0,88.79,87.94,0.5518639486428651,0.07883770694898073
1.0,389.9,0.0093,10.0,98.72,97.97,0.5470016207455429,0.07443749218344342
1.0,398.1,0.0086,10.0,94.85,94.0,0.5482340537691092,0.07602638430076941
1.0,4.1,0.57,0.05,81.03,80.05,0.5676909786498827,0.08370146838362666
1.0,4.1,0.57,0.05,81.03,80.05,0.5676909786498827,0.08370146838362666
1.0,423.9,0.008,10.0,95.94,95.16,0.45861997081509276,0.06913956202533666
1.0,43.3,0.1078,0.05,133.17,128.05,1.081324622662762,0.09011038522189684
1.0,43.3,0.1078,0.05,133.17,128.05,1.081324622662762,0.09011038522189684
1.0,43.3,0.075,1.0,93.34,92.55,0.40711377758731515,0.06604257556212745
1.0,432.9,0.0077,10.0,94.12,93.31,0.4143646408839779,0.06635144494685931
1.0,44.1,0.05,0.2,96.89,95.54,0.7224687790277634,0.0863515354044871
1.0,446.7,0.007,10.0,77.95,77.14,0.6286080821039127,0.08980115458627325
1.0,48.1,0.0638,1.0,108.64,107.78,0.5062592047128129,0.06826397723762577
1.0,480.6,0.0065,10.0,112.19,111.33,0.41001871824583297,0.06045396187828923
1.0,490.8,0.0062,10.0,109.39,108.57,0.5302129993600878,0.06962037760182749
1.0,5.3,0.4023,0.05,82.31,81.32,0.5467136435427044,0.08149925807920506
1.0,5.3,0.4023,0.05,82.31,81.32,0.5467136435427044,0.08149925807920506
1.0,501.2,0.0056,10.0,72.17,71.26,0.4156851877511431,0.07589338471735708
1.0,533.7,0.0046,1.0,40.45,38.76,0.7169344870210136,0.1331313920181583
1.0,533.7,0.0055,10.0,97.41,96.51,0.4106354583718304,0.06492716682411209
1.0,54.8,0.05,1.0,88.69,87.78,0.49611004622843613,0.07479140354843612
1.0,562.3,0.0046,10.0,70.07,69.17,0.6993006993006994,0.0999000999000999
1.0,568.3,0.005,10.0,104.33,103.38,0.5750982459503499,0.07424486429996006
1.0,59.3,0.0456,1.0,94.61,93.72,0.5813338970510517,0.07838704668740791
1.0,592.6,0.0047,10.0,109.64,108.67,0.37395111273257936,0.05840135203787713
1.0,6.6,0.3175,0.05,79.46,78.46,0.5411527812735968,0.08252502547573623
1.0,6.6,0.3175,0.05,79.46,78.46,0.5411527812735968,0.08252502547573623
1.0,65.8,0.1059,0.05,112.09,106.23,1.1687037202248194,0.10211011813952714
1.0,65.8,0.1059,0.05,112.09,106.23,1.1687037202248194,0.10211011813952714
1.0,65.8,0.0393,1.0,86.17,85.24,0.580248346292213,0.08205950808710079
1.0,657.9,0.004,10.0,103.92,102.99,0.5773672055427251,0.07453778572377631
1.0,730.5,0.0036,1.0,21.13,19.55,0.6152389966871746,0.17063659609389442
1.0,761.8,0.0032,10.0,99.04,98.12,0.5452342487883683,0.07419698332339998
1.0,8.1,0.2562,0.05,72.19,71.11,0.7757307106247403,0.1036613765555878
1.0,8.1,0.2562,0.05,72.19,71.11,0.7757307106247403,0.1036613765555878
1.0,81.1,0.0298,1.0,103.19,102.21,0.6008334140905126,0.07630591989545316
1.0,882.0,0.0026,10.0,95.21,94.21,0.48314252704547844,0.07123547928920564
1.0,97.9,0.6667,10.0,52.1,87.72,0.8445297504798465,0.12731765030155084
0.5,17.4,0.57,1.0,97.5,97.91,0.22564102564102564,0.04810682830588133
0.5,184.5,0.05,10.0,124.21,124.77,0.2415264471459625,0.04409649444530764
0.5,4.5,0.57,0.05,156.94,155.95,0.3313368166178157,0.04594814929863628
