concentration,electric_field,gap_mm,pressure,ne,ni,Ar_750,ErrAr_750
50.0,102.9,0.05,1.0,11727.2,11853.2,4.375980626236442,0.019317037787693083
50.0,35.1,0.57,1.0,6916.0,9473.9,14.574175824175825,0.04590547758389922
50.0,358.7,0.05,10.0,,,0.0,0.0
50.0,363.5,0.05,10.0,16285.6,21250.4,13.475340177825808,0.028765239011751084
50.0,9.1,0.57,0.05,44497.6,44573.1,2.837478875265183,0.007985424807127274
20.0,201.1,0.57,10.0,3001.9,11963.6,114.32192944468503,0.19514914927033739
20.0,28.3,0.57,1.0,12276.6,14673.6,22.86178583646938,0.043153499788167064
20.0,293.3,0.05,10.0,,,0.0,0.0
20.0,302.2,0.05,10.0,17744.7,20318.4,20.2968210226152,0.03382047324944582
20.0,9.8,0.57,0.05,97218.0,97152.8,3.9215680223826865,0.00635121091184404
20.0,94.3,0.05,1.0,7589.4,7628.8,6.603552322976784,0.029497491874782997
10.0,25.6,0.57,1.0,8252.8,9126.3,25.939075222954635,0.056063032323630205
10.0,267.3,0.05,10.0,,,0.0,0.0
10.0,278.6,0.05,10.0,25212.2,27157.3,23.007353582789285,0.030208416579140612
10.0,7.9,0.57,0.05,14154.2,14154.3,4.9563380480705375,0.01871275777541955
10.0,93.9,0.05,1.0,12271.2,12299.6,7.210215789816806,0.024239888292843022
5.0,129.2,0.57,10.0,23.3,76.4,206.22317596566523,2.975026064484699
5.0,24.0,0.57,1.0,10803.5,11404.8,27.901605961031148,0.05081973106108167
5.0,252.4,0.05,10.0,,,0.0,0.0
5.0,255.1,0.05,10.0,10911.0,11409.9,25.59123819998167,0.0484298776312897
5.0,8.0,0.57,0.05,12948.6,12941.2,5.115842639358695,0.019876832643173047
5.0,93.0,0.05,1.0,9455.7,9465.4,7.524879173408631,0.028209989400070974
2.0,22.7,0.57,1.0,6563.3,6727.1,29.74494537808724,0.06732020968145712
2.0,233.1,0.05,10.0,3455.8,3530.0,28.752242606632326,0.09121401276328094
2.0,238.7,0.05,10.0,,,0.0,0.0
2.0,8.2,0.57,0.05,23039.2,23019.1,5.157774575506094,0.014962269780206488
2.0,92.1,0.05,1.0,10152.5,10155.5,7.819847328244275,0.0277531726882159
1.0,1.0,16.2949,0.05,10968.9,11171.8,35.29132365141445,0.056722117498214465
1.0,102.5,1.0834,10.0,7780.7,11607.0,156.9708380993998,0.14203656252461552
1.0,107.5,0.0424,1.0,12318.3,12317.7,6.991873878700795,0.02382436886716529
1.0,116.1,0.57,10.0,4389.8,5335.2,99.69656931978678,0.15070155719853293
1.0,12.0,4.8661,1.0,2204.2,2605.6,91.8968333182107,0.2041854417844192
1.0,120.0,0.0371,1.0,9991.4,9990.0,6.473066837480233,0.025453169677982106
1.0,125.0,0.4042,10.0,17557.3,20015.2,81.65247503887272,0.0681955147420124
1.0,13.2,0.3861,0.05,30797.9,30643.3,3.7900960779793427,0.011093397052174355
1.0,147.5,0.2059,10.0,9391.9,9988.2,57.21685707897231,0.07805222166775569
1.0,16.5,1.386,1.0,5133.4,5333.0,47.18646511084272,0.09587517484116807
1.0,170.0,0.1256,10.0,9685.2,10021.2,44.842336761243956,0.06804399770408755
1.0,19.4,0.3016,0.05,32561.3,32181.0,3.066278066293422,0.009704091892055197
1.0,192.5,0.0858,10.0,4767.4,4870.3,37.06569618660067,0.08817496272882608
1.0,21.0,0.6736,1.0,3873.1,3932.4,33.123596085822726,0.09247820360501702
1.0,215.0,0.0633,10.0,8752.9,8877.0,31.758845639730833,0.06023603414974565
1.0,22.4,0.57,1.0,7298.3,7390.0,30.160585341791922,0.06428490808612679
1.0,235.8,0.05,10.0,,,0.0,0.0
1.0,237.5,0.0492,10.0,6211.2,6274.2,28.048042246264814,0.06719910975112327
1.0,238.5,0.05,10.0,8062.5,8144.4,27.824496124031008,0.05874606620407411
1.0,25.5,0.2566,0.05,21370.2,20966.2,2.6762968994206884,0.011190844268144411
1.0,25.5,0.4164,1.0,4794.0,4831.9,25.597204839382563,0.07307137120526049
1.0,260.0,0.0398,10.0,8900.0,8968.2,25.23426966292135,0.05324764030528536
1.0,30.0,0.2932,1.0,11220.7,11274.7,21.344390278681363,0.04361460073284937
1.0,31.6,0.2279,0.05,15143.4,14758.0,2.3859239008412905,0.012552105963086103
1.0,32.5,0.2501,1.0,4900.8,4918.3,19.532525301991512,0.0631314418233961
1.0,37.8,0.2075,0.05,10099.3,9797.9,2.232035883675106,0.01486637041454095
1.0,43.9,0.1922,0.05,6599.6,6371.0,2.088005333656585,0.017787175696501834
