concentration,electric_field,gap_mm,pressure,ne,ni,CF4,ErrCF4,Ar_dbleStar,ErrAr_dbleStar,CF3,ErrCF3,Ar_3rd,ErrAr_3rd,Ar_696,ErrAr_696,Ar_727,ErrAr_727,Ar_750,ErrAr_750,Ar_763,ErrAr_763,Ar_772,ErrAr_772,Ar_794,ErrAr_794
0.1,7.8,0.57,0.05,12039.6,12029.2,0.005564968935845045,0.0006798691627522883,8.453935346689258,0.026498630657374397,0.0025748363733014384,0.00046245426449633055,0.0,0.0,4.8329678726868,0.02003553413441555,4.8329678726868,0.02003553413441555,5.449018239808631,0.021274193334195248,5.449018239808631,0.021274193334195248,4.8329678726868,0.02003553413441555,5.129489351805708,0.020641014415784833
0.1,22.3,0.57,1.0,6435.9,6444.1,0.00481673114871269,0.000865110452746317,58.13033142217872,0.09503788345608773,0.0013984058173682004,0.0004661352724560668,0.0,0.0,26.309917804813626,0.06393741915405386,26.309917804813626,0.06393741915405386,30.265541726875806,0.06857559463562264,30.265541726875806,0.06857559463562264,26.309917804813626,0.06393741915405386,28.162339377554034,0.06614998044533943
0.1,92.1,0.05,1.0,8783.9,8783.2,0.005806077027288563,0.0008130134027644726,12.382085406254625,0.03754509488005787,0.0013661357711267205,0.0003943694276047945,0.0,0.0,6.87883514156582,0.02798425561897351,6.87883514156582,0.02798425561897351,7.797106069058164,0.029793603217538725,7.797106069058164,0.029793603217538725,6.87883514156582,0.02798425561897351,7.328521499561698,0.028884475891071185
0.1,107.0,0.57,10.0,3492.5,3580.0,0.006299212598425197,0.0013429966384605383,269.0903364352183,0.27757531634652394,0.001717967072297781,0.0007013571203387768,0.0,0.0,83.85168217609163,0.15494860918774767,83.85168217609163,0.15494860918774767,99.31510379384395,0.16863178728601771,99.31510379384395,0.16863178728601771,83.85168217609163,0.15494860918774767,90.81975662133142,0.16125825632069496
0.1,235.6,0.05,10.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1,237.8,0.05,10.0,8364.3,8371.0,0.005260452159774279,0.0007930430018902718,52.78349652690602,0.07943909306469285,0.0022715588871752568,0.0005211313491315082,0.0,0.0,24.301376086462707,0.05390147289257582,24.301376086462707,0.05390147289257582,27.93742453044487,0.057793418390951604,27.93742453044487,0.057793418390951604,24.301376086462707,0.05390147289257582,26.01174037277477,0.05576605268755497
0.5,7.9,0.57,0.05,13187.6,13176.0,0.029421577845855196,0.0014936543118984657,8.386817919864114,0.025218295207363045,0.00864448421244199,0.0008096301261815123,0.0,0.0,4.748475840941491,0.01897554391892709,4.748475840941491,0.01897554391892709,5.361475931936061,0.020163192548880663,5.361475931936061,0.020163192548880663,4.748475840941491,0.01897554391892709,5.049743698625982,0.01956824084636883
0.5,22.5,0.57,1.0,11114.1,11180.4,0.020874384790491356,0.0013704705024903336,57.327358940445016,0.07181973811232921,0.010527168191756418,0.0009732370436105459,0.0,0.0,26.006424271870866,0.048373016633840256,26.006424271870866,0.048373016633840256,29.940885901692443,0.05190332414443146,29.940885901692443,0.05190332414443146,26.006424271870866,0.048373016633840256,27.858935946230464,0.05006625561896688
0.5,92.0,0.05,1.0,9680.7,9680.7,0.028613633311640685,0.0017192266031478341,12.347867406282603,0.03571433744922749,0.008986953422789674,0.0009635025414576234,0.0,0.0,6.86716869647856,0.026633943691672355,6.86716869647856,0.026633943691672355,7.777433450060429,0.028344237015770966,7.777433450060429,0.028344237015770966,6.86716869647856,0.026633943691672355,7.308768993977708,0.02747696350211632
0.5,112.0,0.57,10.0,15388.6,17073.1,0.030996971784307863,0.0014192538416647098,256.7004145926205,0.12915574519173617,0.01358148239605942,0.0009394507814096773,0.0,0.0,82.8832382412955,0.07338947818091993,82.8832382412955,0.07338947818091993,97.89571500981246,0.07975947484792233,97.89571500981246,0.07975947484792233,82.8832382412955,0.07338947818091993,89.69334442379423,0.076344991918781
0.5,237.2,0.05,10.0,5776.5,5803.6,0.023197437894919067,0.0020039534151805117,52.57768544966675,0.09540438649124267,0.00796329957586774,0.0011741244669134022,0.0,0.0,24.177096857958972,0.06469484643723108,24.177096857958972,0.06469484643723108,27.79312732623561,0.0693643497973234,27.79312732623561,0.0693643497973234,24.177096857958972,0.06469484643723108,25.868951787414524,0.06692016866270442
