concentration,electric_field,gap_mm,pressure,ne,ni,Ar_794,ErrAr_794
50.0,102.9,0.05,1.0,11727.2,11853.2,4.11718057166246,0.018737117983437742
50.0,35.1,0.57,1.0,6916.0,9473.9,13.651821862348179,0.0444291305080593
50.0,358.7,0.05,10.0,,,0.0,0.0
50.0,363.5,0.05,10.0,16285.6,21250.4,12.616851697204892,0.027833871461331393
50.0,9.1,0.57,0.05,44497.6,44573.1,2.6773578799755495,0.007756841539248723
20.0,201.1,0.57,10.0,3001.9,11963.6,106.30800493021086,0.1881849437312678
20.0,28.3,0.57,1.0,12276.6,14673.6,21.354772494012998,0.041706949063868265
20.0,293.3,0.05,10.0,,,0.0,0.0
20.0,302.2,0.05,10.0,17744.7,20318.4,18.959407597761583,0.0326872248875005
20.0,9.8,0.57,0.05,97218.0,97152.8,3.698183463967578,0.00616766653720678
20.0,94.3,0.05,1.0,7589.4,7628.8,6.208659446069518,0.028601920681403294
10.0,25.6,0.57,1.0,8252.8,9126.3,24.19384936021714,0.054144185619482706
10.0,267.3,0.05,10.0,,,0.0,0.0
10.0,278.6,0.05,10.0,25212.2,27157.3,21.47012160779305,0.029181786810263385
10.0,7.9,0.57,0.05,14154.2,14154.3,4.67401901908974,0.018171993536094885
10.0,93.9,0.05,1.0,12271.2,12299.6,6.797542212660538,0.023535988294899494
5.0,129.2,0.57,10.0,23.3,76.4,189.91416309012874,2.8549645269635344
5.0,24.0,0.57,1.0,10803.5,11404.8,26.00166612671819,0.04905896149377791
5.0,252.4,0.05,10.0,,,0.0,0.0
5.0,255.1,0.05,10.0,10911.0,11409.9,23.85675006873797,0.04675987725849765
5.0,8.0,0.57,0.05,12948.6,12941.2,4.829865776995196,0.019313283845674
5.0,93.0,0.05,1.0,9455.7,9465.4,7.070232769652167,0.02734450169729947
2.0,22.7,0.57,1.0,6563.3,6727.1,27.68744381637286,0.06495017166622225
2.0,233.1,0.05,10.0,3455.8,3530.0,26.784246773540133,0.08803703726182366
2.0,238.7,0.05,10.0,,,0.0,0.0
2.0,8.2,0.57,0.05,23039.2,23019.1,4.85798117990208,0.014520922802302839
2.0,92.1,0.05,1.0,10152.5,10155.5,7.358778625954199,0.026922561024915154
1.0,1.0,16.2949,0.05,10968.9,11171.8,32.792166944725544,0.054676854177671236
1.0,102.5,1.0834,10.0,7780.7,11607.0,143.3243795545388,0.13572214035916272
1.0,107.5,0.0424,1.0,12318.3,12317.7,6.576962730246869,0.02310666681311196
1.0,116.1,0.57,10.0,4389.8,5335.2,91.50758576700532,0.14437971549948359
1.0,12.0,4.8661,1.0,2204.2,2605.6,84.38980128844933,0.1956678545501528
1.0,120.0,0.0371,1.0,9991.4,9990.0,6.087835538563165,0.024684156018719844
1.0,125.0,0.4042,10.0,17557.3,20015.2,75.08210260119722,0.0653942175990905
1.0,13.2,0.3861,0.05,30797.9,30643.3,3.583328733452605,0.010786555285836835
1.0,147.5,0.2059,10.0,9391.9,9988.2,52.839042153344906,0.0750068173758531
1.0,16.5,1.386,1.0,5133.4,5333.0,43.66754977208088,0.09223098755448003
1.0,170.0,0.1256,10.0,9685.2,10021.2,41.54276628257547,0.06549277758286066
1.0,19.4,0.3016,0.05,32561.3,32181.0,2.9047673158012732,0.009445061863596975
1.0,192.5,0.0858,10.0,4767.4,4870.3,34.41729244451903,0.08496646597779482
1.0,21.0,0.6736,1.0,3873.1,3932.4,30.82982623738091,0.08921876008852617
1.0,215.0,0.0633,10.0,8752.9,8877.0,29.516160358281258,0.058070283623057106
1.0,22.4,0.57,1.0,7298.3,7390.0,28.079963827192632,0.06202794831853066
1.0,235.8,0.05,10.0,,,0.0,0.0
1.0,237.5,0.0492,10.0,6211.2,6274.2,26.138749356002062,0.06487160534221237
1.0,238.5,0.05,10.0,8062.5,8144.4,25.920744186046512,0.05670075857583862
1.0,25.5,0.2566,0.05,21370.2,20966.2,2.5433547650466535,0.010909357607058655
1.0,25.5,0.4164,1.0,4794.0,4831.9,23.833959115561118,0.07050973462878732
1.0,260.0,0.0398,10.0,8900.0,8968.2,23.512696629213483,0.05139918312341475
1.0,30.0,0.2932,1.0,11220.7,11274.7,19.927277264341797,0.04214188971473031
1.0,31.6,0.2279,0.05,15143.4,14758.0,2.270229935153268,0.0122439973230186
