concentration,electric_field,gap_mm,pressure,ne,ni,CF3,ErrCF3
0.5,22.5,0.57,1.0,11114.1,11180.4,0.010527168191756418,0.0009732370436105459
0.5,237.2,0.05,10.0,5776.5,5803.6,0.00796329957586774,0.0011741244669134022
0.5,237.7,0.05,10.0,,,0.0,0.0
0.5,7.9,0.57,0.05,13187.6,13176.0,0.00864448421244199,0.0008096301261815123
0.5,92.0,0.05,1.0,9680.7,9680.7,0.008986953422789674,0.0009635025414576234
0.1,107.0,0.57,10.0,3492.5,3580.0,0.001717967072297781,0.0007013571203387768
0.1,22.3,0.57,1.0,6435.9,6444.1,0.0013984058173682004,0.0004661352724560668
0.1,235.6,0.05,10.0,,,0.0,0.0
0.1,237.8,0.05,10.0,8364.3,8371.0,0.0022715588871752568,0.0005211313491315082
0.1,7.8,0.57,0.05,12039.6,12029.2,0.0025748363733014384,0.00046245426449633055
0.1,92.1,0.05,1.0,8783.9,8783.2,0.0013661357711267205,0.0003943694276047945
100.0,109.8,0.05,1.0,6938.2,7079.4,2.920930500706235,0.020518102948406322
100.0,339.4,0.57,10.0,0.0,0.9,0.0,0.0
100.0,43.6,0.57,1.0,10217.6,15629.1,5.763584403382398,0.023750452060622623
100.0,446.2,0.05,10.0,,,0.0,0.0
100.0,446.9,0.05,10.0,7763.5,11332.9,5.555999227152702,0.026751756926134487
100.0,8.5,0.57,0.05,10430.3,10490.2,2.4495939714102186,0.015324935393177362
