,N,P1,P2,P3,K1,K2,K3,K4,K5
N,2.1422118947711197e-07,-3.7182038045378855e-06,9.457537526335864e-18,2.350296359198432e-16,4.763517252274101e-06,4.902765741623142e-06,-4.307941942131616e-06,0.00043583392168065313,0.0006202719263302437
P1,-3.718203804537885e-06,6.46349077639747e-05,-2.9857458497848554e-10,-9.629140101182082e-09,-8.267962666820963e-05,-8.509654099931541e-05,7.477227700051349e-05,-0.007564701464384374,-0.01076596317086348
P2,9.457538732538052e-18,-2.985745849785065e-10,1.5520389783041407e-09,6.006724874209106e-08,2.1030202075745186e-16,2.1644962742758692e-16,-1.9018906398532405e-16,1.9241403371182187e-14,2.7384060117627927e-14
P3,2.350296939313277e-16,-9.62914010118309e-09,6.006724874209106e-08,2.982222238949396e-06,5.2262243941406985e-15,5.3789988020167e-15,-4.726396439207018e-15,4.781689335499713e-13,6.805224420710882e-13
K1,4.763517252274095e-06,-8.267962666820951e-05,2.103019931161682e-16,5.226223076520775e-15,0.00018764681827494623,0.0001897476800812829,-4.022179709468555e-05,0.01129735399689143,0.014937988075783552
K2,4.902765741623172e-06,-8.509654099931608e-05,2.1644959961690515e-16,5.378997475826799e-15,0.0001897476800812836,0.0015060120882218193,0.000700953448764961,0.007969563561283314,0.014318456678222275
K3,-4.307941942131597e-06,7.477227700051304e-05,-1.9018904169532925e-16,-4.726395337174711e-15,-4.022179709468532e-05,0.0007009534487649616,0.0007322238611525813,-0.005351081282097939,-0.0049219570736127784
K4,0.0004358339216806501,-0.007564701464384322,1.92414004289271e-14,4.781687989659638e-13,0.011297353996891392,0.007969563561283094,-0.005351081282097997,2.284478330288881,3.1230332797991514
K5,0.0006202719263302395,-0.010765963170863414,2.7384055970574334e-14,6.805222519534693e-13,0.01493798807578349,0.014318456678221984,-0.004921957073612852,3.1230332797991527,4.3244001633175
