,N,P1,P2,P3,K1,K2,K3,K4
value,0.007062415454656555,0.10512320154331588,0.2216917877840296,0.0374002227189314,0.03614899329966756,0.07000000000000008,0.32692981891459877,0.2702993368636796
uncertainty,0.000250297694034584,0.0037376427124882665,0.0097292605276354,0.0017764317213857135,0.019203126059601523,0.05439257505503335,0.03367577957004459,0.32330715588671605
