,N,P1,P2,P3,K1,K2,K3,K4
N,1.0000000000000002,-0.9967916284614833,-0.8075573227472826,-1.5814631079369725e-09,0.5076128393677068,0.14527131417521555,-0.16790928092236138,0.03833534137062132
P1,-0.9967916284614833,1.0,0.8038271367052112,-0.0014211334015612307,-0.5059842287812939,-0.14480522982545288,0.16737056556439728,-0.038212347352448495
P2,-0.8075573227472821,0.8038271367052109,1.0000000000000002,0.52073067526516,-0.40992646555193146,-0.11731491354731644,0.13559636936608352,-0.030957985643862033
P3,-1.5814622604339875e-09,-0.0014211334015620265,0.5207306752651594,0.9999999999999999,-8.027704646991987e-10,-2.297410999261503e-10,2.655422245431519e-10,-6.062585419497618e-11
K1,0.5076128393677061,-0.5059842287812933,-0.40992646555193135,-8.027710643508912e-10,1.0000000000000002,0.5243007729923737,0.434919617875933,0.14885121679382618
K2,0.1452713141752138,-0.1448052298254515,-0.11731491354731535,-2.2974138298076425e-10,0.5243007729923724,0.9999999999999999,0.8542227697297685,-0.37674339274717045
K3,-0.16790928092236315,0.1673705655643986,0.13559636936608466,2.6554220708617576e-10,0.43491961787593164,0.854222769729768,1.0,-0.4953934877041548
K4,0.0383353413706226,-0.03821234735244957,-0.030957985643862977,-6.062592770060918e-11,0.14885121679382735,-0.3767433927471695,-0.4953934877041543,1.0000000000000002
