concentration,N2_star,ErrN2_star
0.001,0.24850000000000003,0.004984975016339613
0.005,1.1819,0.010871528137966952
0.01,2.3406000000000002,0.015299002085960037
0.02,4.5571,0.0213473706394752
0.05,10.659300000000002,0.03264853347931955
0.1,19.898799999999998,0.0446082190007201
0.2,36.80970000000001,0.06067078153300347
0.5,81.74369999999999,0.09041220615478146
1.0,148.7824,0.1219760903177854
