concentration,Ar_res,ErrAr_res
0.001,25.2716,0.050270266720000005
0.005,24.676,0.049675255599999996
0.01,23.8485,0.04883457345
0.05,19.8288,0.04452953616
0.1,16.9026,0.041112193979999996
0.2,13.3262,0.03650445966
0.5,7.0123,0.02648054849
1.0,0.0,0.0
