N2 concentration (%),1.0bar,Err 1.0bar,2.0bar,Err 2.0bar,2.5bar,Err 2.5bar,3.0bar,Err 3.0bar,4.0bar,Err 4.0bar,5.0bar,Err 5.0bar
0.1,1.0740258146907218,0.43860482907735915,0.5592254706574834,0.22837346050575344,0.0,0.0,0.27648182447293296,0.11290814588182613,0.19699093188509376,0.08044608688863913,0.149056145774693,0.060870739274795874
0.5,2.13637879702624,0.4294257294139917,0.9767017696346056,0.19632326927654187,0.0,0.0,0.6115738327239191,0.12293023108708274,0.4847063178845784,0.09742905349879238,0.28221067678734013,0.056726141401754096
1.0,2.2011523279769927,0.4232097130379095,1.056869330221343,0.20320145965209968,0.0,0.0,0.6678242111952796,0.1284007877089898,0.504425098787599,0.09698447426544951,0.45434448718591525,0.08735560805963319
5.0,1.9652627596951318,0.3711898904061837,1.0915073823793287,0.20615894930292922,0.0,0.0,0.7335041755787263,0.13854093209794616,0.5582184054401107,0.1054337531792302,0.4347514051291778,0.08211386779082294
10.0,1.9091929813582302,0.1529699493157588,1.1041132785892591,0.08846468320059496,0.0,0.0,0.7935629305273124,0.06358250970274797,0.6198700088003305,0.049665740841498385,0.3870063425417203,0.03100804433157306
20.0,1.2526625598392824,0.10036687236930988,0.7325010282666349,0.058690057140255006,0.0,0.0,0.5342777715351875,0.04280784835806974,0.4212959043585104,0.03375542114700761,0.2879488519463894,0.02307127761198557
50.0,0.6686986164108866,0.05357802718671219,0.3860771623306566,0.03093359578122772,0.0,0.0,0.30493204346652114,0.024432019020225074,0.2204207941787759,0.01766073835536484,0.17445973305746687,0.013978207956984994
100.0,0.36842551841024374,0.05218828673353804,0.2169058434911897,0.0,0.0,0.0,0.1336994081819735,0.0189388158573089,0.11690824576389858,0.016560310691203287,0.0846461809130386,0.011990318095907898
