N2 concentration (%),1.0bar,Err 1.0bar,2.0bar,Err 2.0bar,3.0bar,Err 3.0bar,4.0bar,Err 4.0bar,5.0bar,Err 5.0bar
0.1,0.04190241267233203,0.000441124441037076,0.026580726699499527,0.0001777736974211356,0.017022315952398847,7.780115324523135e-05,0.010836154801023162,0.00011129457674917409,0.008476538146933034,3.310781093310289e-05
0.5,0.03573318965377416,0.00013489735635890607,0.019269015651213046,0.00020152907475504134,0.014715074625459715,6.106173592153839e-05,0.010844336111120649,0.00019732638361634816,0.00869006693535019,8.827562712152969e-05
1.0,0.0328979516344905,0.00016186444167777883,0.01691150813637049,0.00012905301367335635,0.01232493511209536,6.159832154627436e-05,0.010327479223364983,0.00012677150096039504,0.008233494873646375,0.00014347785727365954
5.0,0.014707310714639148,7.165545003909746e-05,0.008234885061559945,2.1395943349722564e-05,0.005685560501303503,2.1707214065129054e-05,0.004407091034463069,0.00011315824735014073,0.00239876561142585,5.899232978117536e-05
10.0,0.01090257201968543,2.9706131684191332e-05,0.0035270073935823668,1.768914191196242e-05,0.004583959459573356,8.555458226451075e-06,0.0031669540365950304,1.455010112101857e-05,0.0025235912061578997,6.740669185768518e-05
20.0,0.0034498824099780064,3.002184757793522e-05,0.0007632546126357142,3.9049862058971175e-05,0.001729681409165823,2.966806642153803e-05,0.0008793870496566212,0.0001232050618170186,0.0028231539645724216,8.191751841644902e-05
50.0,0.001062206932906627,5.501993012964194e-05,0.00163016349179131,1.3556580251864315e-05,0.0024588608190905213,9.71353251215867e-06,0.00018262489421015454,2.8635381260652727e-05,0.001123509290479167,2.3511860805952274e-05
100.0,-0.002361979582729378,0.00032761901690971833,0.0013388440436168363,0.00032182001716885304,0.000151477550161275,9.051319037168588e-05,-0.001420788440038903,2.92658071331239e-06,-4.2236756856075324e-05,5.680139966659165e-05
