N2 concentration (%),1.0bar,Err 1.0bar,2.0bar,Err 2.0bar,3.0bar,Err 3.0bar,4.0bar,Err 4.0bar,5.0bar,Err 5.0bar
0.1,0.06051945148924209,8.37803208440964e-05,0.04911159841214594,3.9213482661920596e-05,0.028915482317237572,7.309143217116426e-05,0.02239656232992241,6.674275716981107e-05,0.019936037836597087,6.567909328710972e-05
0.5,0.05049318108924607,6.030582859887362e-05,0.0323806358527295,0.00017335348741952944,0.02118947939967615,1.8988093053269248e-05,0.017597852792869368,8.292856663489473e-05,0.014218136646430582,0.00013764784345485313
1.0,0.046305496637576465,8.587694970265194e-05,0.02663012547798361,6.835852094143856e-05,0.018230951061941444,6.107878994405375e-05,0.017130579794889113,4.503599915943804e-05,0.010926152478866092,0.0002707064418677931
5.0,0.01646116753783843,1.562234083236219e-05,0.010486608381117356,3.1586697446324766e-05,0.007888954285038226,5.3870373967015474e-05,0.0064080658909826775,8.228194799871124e-05,0.005245117641009169,1.5418532929873524e-05
10.0,0.0105055555498632,0.00013649217850173357,0.004364914129640697,1.1067715617612498e-05,0.003243713684550919,6.882056694529066e-05,0.0036701322684552303,9.729857407870862e-05,0.003430068603799241,0.00010761066303884427
20.0,0.0016957392046022814,1.749521726113288e-05,0.001989981316622562,1.0048775448820522e-05,0.0015377091882901486,2.7644567264874785e-05,0.002039246776176917,6.29778203982169e-05,0.0028744298903976002,2.0576597918678993e-05
50.0,0.0008125925815617155,3.74402416142126e-06,1.8026197615353599e-06,8.6285227845067e-05,0.0029184273291377894,5.8271307660730806e-05,0.0017336120523564328,2.0445939534352565e-05,-0.00039961748032936104,6.0599232661196075e-06
100.0,0.003765384350076915,0.0003339949136017344,0.0017390783334049773,0.0001005250107401249,0.0036289555142147473,0.00036388389021869234,0.005131673319675546,0.00014961490327230478,0.0052932001550457,0.0001406516105463976
