N2 concentration (%),1.0bar,Err 1.0bar,2.0bar,Err 2.0bar,3.0bar,Err 3.0bar,4.0bar,Err 4.0bar,5.0bar,Err 5.0bar
0.1,0.0004432871950282037,0.00018696705796123974,0.0003603786868257965,0.00015210056956556112,0.00023273036216340905,9.806326993999154e-05,0.00017055841131956482,7.200626528058259e-05,0.00012437865270231336,5.2430702438460715e-05
0.5,0.0003553864992015187,8.044967341931074e-05,0.00025006155272420206,5.68120025654523e-05,0.0001728346741761375,3.92757326655003e-05,0.0001305575958645365,2.954413102655765e-05,0.0001201547178476632,2.757391569812261e-05
1.0,0.0003170697806952355,6.962856657987726e-05,0.00021088441260042092,4.597211225723331e-05,0.00015150248237411114,3.325238775819514e-05,0.00012356598268682307,2.7031664041579318e-05,8.784373344371062e-05,1.8966680699173976e-05
5.0,0.000121912443061574,2.6232559695901996e-05,7.755435438401384e-05,1.6752627189084168e-05,4.9066641734337735e-05,1.059514726564962e-05,3.513116949298833e-05,7.784049301090688e-06,2.9780707815006337e-05,6.196748517276083e-06
10.0,7.403614977591288e-05,9.577768359269125e-06,4.439521624081657e-05,5.964943938601208e-06,4.494818076567991e-05,5.927475020050477e-06,2.4411707123831878e-05,2.899161189238642e-06,1.9024624185402488e-05,2.813117524738628e-06
20.0,3.056006330163808e-05,3.816751022752373e-06,1.9806263666291304e-05,2.6290977027605893e-06,1.3889785020404762e-05,2.007108648767422e-06,1.140975714538555e-05,1.611026224881367e-06,4.656837209990424e-07,1.7062174120690214e-07
50.0,5.5960257191357185e-06,6.449663953579555e-07,1.2326271560224142e-05,1.5877076612463108e-06,1.8469526346801714e-05,2.5041029924850176e-06,1.89779105833851e-06,2.8544150620728003e-07,-1.4309285009395298e-06,2.9011528469920976e-07
100.0,4.8100426853786194e-05,9.5465345395577e-06,1.846670756889623e-05,1.0483662963315746e-06,3.5987708080511533e-06,9.116187898262594e-07,1.906570633537485e-05,3.2722074680518306e-06,-3.341034572767628e-06,5.768001089409453e-07
