N2 concentration (%),1.0bar,Err 1.0bar,2.0bar,Err 2.0bar,3.0bar,Err 3.0bar,4.0bar,Err 4.0bar,5.0bar,Err 5.0bar
0.1,0.007770148135987063,4.319402902833213e-05,0.006355233040143505,2.0348389388571194e-05,0.003984027638319778,3.0546978343972027e-06,0.003780118049218518,3.983898594138685e-05,0.002227306306513651,2.8696164311287596e-06
0.5,0.006419124699083224,3.88483777145625e-05,0.0037191062131625586,1.1568579455273256e-06,0.0024463740715611245,2.0528851325538186e-05,0.002237276768099804,1.365517893210026e-05,0.0023693720440595223,7.307920006311601e-06
1.0,0.004747190875480136,2.0704749124851856e-05,0.003345754706918937,8.054896997560174e-06,0.0026186662263913765,2.9597375043697834e-05,0.0024059947550723994,5.1604266718848196e-06,0.001527599773921529,1.2778002986765964e-05
5.0,0.0019125368591495556,6.635842700104745e-06,0.0008241665374301569,1.2865843460834034e-05,0.0015688959136659865,1.5552267104401913e-05,7.859778394199963e-05,3.1285156348475795e-05,0.0010720972878874677,2.56695105467213e-05
10.0,0.0009071116170025124,1.5653646125670078e-05,0.000349021681664856,1.1850240686894287e-05,0.0010009340014403125,2.1635357960431796e-06,0.0011304539946789594,1.1498744653188264e-06,0.0004808548985556744,6.120627576838462e-05
20.0,0.00013544849192905498,2.138752155215199e-06,0.0005576939372754292,9.182614028923025e-06,0.00010881835343338797,1.4029328510842021e-05,0.00028788119610458464,3.0258730855765522e-06,0.00019940913144344397,1.7897199586726874e-05
50.0,0.00027175226788190687,8.104138437539226e-06,-0.00024342078442165965,1.6703011651534493e-05,0.0011090192238770084,1.7040486085495273e-05,0.00043921074154709466,2.3512235957783397e-05,0.0006382945966557182,3.956215660104738e-06
100.0,-0.0034994975641202564,0.00032110367977714743,9.600112011316127e-05,0.0001769958666760775,0.0015937332384529873,0.00014045091065095544,0.0011871054463326214,7.494192021105658e-05,0.0005433098740420921,1.891708612454773e-05
