file,electric_field,pressure,gap,gas1,concentration_gas_1,gas2,concentration_gas_2,concentration,ne_mean,ne_std,ni_mean,ni_std,n_entries
ar_98.0_cf4_2.0_18.1kVcm_1.000bar_0.5700mm_100npe.root,18.1,1.0,0.57,ar,98.0,cf4,2.0,2.0,101.24,103.80742855028355,106.39,109.72057208834603,100
ar_98.0_cf4_2.0_187.0kVcm_10.000bar_0.0500mm_100npe.root,187.0,10.0,0.05,ar,98.0,cf4,2.0,2.0,85.76,86.4081365416826,89.52,90.4788026963981,100
ar_98.0_cf4_2.0_4.5kVcm_0.050bar_0.5700mm_100npe.root,4.5,0.05,0.57,ar,98.0,cf4,2.0,2.0,143.69,85.30713317007535,142.86,85.43495606115636,100
ar_98.0_cf4_2.0_45.3kVcm_0.200bar_0.0500mm_100npe.root,45.3,0.2,0.05,ar,98.0,cf4,2.0,2.0,110.82,52.02745584416138,109.47,51.88399161454895,100
ar_98.0_cf4_2.0_56.5kVcm_1.000bar_0.0500mm_100npe.root,56.5,1.0,0.05,ar,98.0,cf4,2.0,2.0,104.65,69.38217612352875,103.91,69.61642308849517,100
ar_99.0_cf4_1.0_0.8kVcm_0.050bar_13.8938mm_100npe copy.root,0.8,0.05,13.8938,ar,99.0,cf4,1.0,1.0,77.86,76.16449768147038,80.08,79.02188419557068,100
ar_99.0_cf4_1.0_0.8kVcm_0.050bar_13.8938mm_100npe.root,0.8,0.05,13.8938,ar,99.0,cf4,1.0,1.0,77.86,76.16449768147038,80.08,79.02188419557068,100
ar_99.0_cf4_1.0_1.0kVcm_0.050bar_8.1726mm_100npe copy.root,1.0,0.05,8.1726,ar,99.0,cf4,1.0,1.0,90.2,92.77723945891127,90.97,94.40536440416311,100
ar_99.0_cf4_1.0_1.0kVcm_0.050bar_8.1726mm_100npe.root,1.0,0.05,8.1726,ar,99.0,cf4,1.0,1.0,90.2,92.77723945891127,90.97,94.40536440416311,100
ar_99.0_cf4_1.0_1.4kVcm_0.050bar_3.9348mm_100npe copy.root,1.4,0.05,3.9348,ar,99.0,cf4,1.0,1.0,122.6,89.27315929044389,122.44,89.78057651403181,100
ar_99.0_cf4_1.0_1.4kVcm_0.050bar_3.9348mm_100npe.root,1.4,0.05,3.9348,ar,99.0,cf4,1.0,1.0,122.6,89.27315929044389,122.44,89.78057651403181,100
ar_99.0_cf4_1.0_1.5kVcm_0.050bar_3.1450mm_100npe copy.root,1.5,0.05,3.145,ar,99.0,cf4,1.0,1.0,136.95,107.40232819175803,136.51,107.75828684532055,100
ar_99.0_cf4_1.0_1.5kVcm_0.050bar_3.1450mm_100npe.root,1.5,0.05,3.145,ar,99.0,cf4,1.0,1.0,136.95,107.40232819175803,136.51,107.75828684532055,100
ar_99.0_cf4_1.0_10.2kVcm_1.000bar_4.2352mm_100npe.root,10.2,1.0,4.2352,ar,99.0,cf4,1.0,1.0,27.05,40.761284612145424,38.84,58.13493881575099,100
ar_99.0_cf4_1.0_100.0kVcm_0.050bar_0.1112mm_100npe copy.root,100.0,0.05,0.1112,ar,99.0,cf4,1.0,1.0,108.07,118.73867877984765,101.06,111.73822401967334,100
ar_99.0_cf4_1.0_100.0kVcm_0.050bar_0.1112mm_100npe.root,100.0,0.05,0.1112,ar,99.0,cf4,1.0,1.0,108.07,118.73867877984765,101.06,111.73822401967334,100
ar_99.0_cf4_1.0_1021.2kVcm_10.000bar_0.0022mm_100npe.root,1021.2,10.0,0.0022,ar,99.0,cf4,1.0,1.0,87.65,46.09900960832767,86.66,46.11409215141826,100
ar_99.0_cf4_1.0_104.3kVcm_10.000bar_0.4769mm_100npe.root,104.3,10.0,0.4769,ar,99.0,cf4,1.0,1.0,75.38,101.26750054517326,107.52,142.98996786170318,100
ar_99.0_cf4_1.0_104.4kVcm_10.000bar_0.5700mm_100npe.root,104.4,10.0,0.57,ar,99.0,cf4,1.0,1.0,175.34,262.3538446411255,248.13,365.7016683063125,100
ar_99.0_cf4_1.0_11.1kVcm_0.050bar_0.1957mm_100npe copy.root,11.1,0.05,0.1957,ar,99.0,cf4,1.0,1.0,90.07,40.60782006590665,88.81,40.60917321855924,100
ar_99.0_cf4_1.0_11.1kVcm_0.050bar_0.1957mm_100npe.root,11.1,0.05,0.1957,ar,99.0,cf4,1.0,1.0,90.07,40.60782006590665,88.81,40.60917321855924,100
ar_99.0_cf4_1.0_111.0kVcm_1.000bar_0.0204mm_100npe.root,111.0,1.0,0.0204,ar,99.0,cf4,1.0,1.0,103.88,44.66469466474555,102.89,44.665059898734896,100
ar_99.0_cf4_1.0_111.0kVcm_10.000bar_0.3486mm_100npe.root,111.0,10.0,0.3486,ar,99.0,cf4,1.0,1.0,105.83,150.06524204054338,133.66,188.32479036671373,100
ar_99.0_cf4_1.0_114.6kVcm_10.000bar_0.2986mm_100npe.root,114.6,10.0,0.2986,ar,99.0,cf4,1.0,1.0,97.01,97.2353694429505,117.33,117.19387847287568,100
ar_99.0_cf4_1.0_118.2kVcm_10.000bar_0.2598mm_100npe.root,118.2,10.0,0.2598,ar,99.0,cf4,1.0,1.0,92.63,103.54598402681201,109.29,121.80073932866787,100
ar_99.0_cf4_1.0_1182.3kVcm_10.000bar_0.0018mm_100npe.root,1182.3,10.0,0.0018,ar,99.0,cf4,1.0,1.0,82.01,41.57128355200999,81.0,41.53129524645824,100
ar_99.0_cf4_1.0_12.3kVcm_0.050bar_0.1807mm_100npe copy.root,12.3,0.05,0.1807,ar,99.0,cf4,1.0,1.0,91.3,42.036419995768036,90.11,41.97086411242249,100
ar_99.0_cf4_1.0_12.3kVcm_0.050bar_0.1807mm_100npe.root,12.3,0.05,0.1807,ar,99.0,cf4,1.0,1.0,91.3,42.036419995768036,90.11,41.97086411242249,100
ar_99.0_cf4_1.0_123.3kVcm_1.000bar_0.0179mm_100npe.root,123.3,1.0,0.0179,ar,99.0,cf4,1.0,1.0,101.31,46.58167476854417,100.27,46.54396314293084,100
ar_99.0_cf4_1.0_125.9kVcm_10.000bar_0.1971mm_100npe.root,125.9,10.0,0.1971,ar,99.0,cf4,1.0,1.0,111.44,117.5838681988565,125.17,131.69317377982057,100
ar_99.0_cf4_1.0_13.7kVcm_1.000bar_1.3416mm_100npe.root,13.7,1.0,1.3416,ar,99.0,cf4,1.0,1.0,87.07,88.55829045369387,93.72,96.23236608765411,100
ar_99.0_cf4_1.0_131.3kVcm_10.000bar_0.1627mm_100npe.root,131.3,10.0,0.1627,ar,99.0,cf4,1.0,1.0,112.21,135.08203979340658,123.55,148.69087824317694,100
ar_99.0_cf4_1.0_150.4kVcm_10.000bar_0.0969mm_100npe.root,150.4,10.0,0.0969,ar,99.0,cf4,1.0,1.0,105.18,106.64463598249273,109.71,111.92297992076263,100
ar_99.0_cf4_1.0_152.0kVcm_1.000bar_0.0146mm_100npe.root,152.0,1.0,0.0146,ar,99.0,cf4,1.0,1.0,109.42,61.05274752046775,108.29,61.016357303479346,100
ar_99.0_cf4_1.0_168.8kVcm_1.000bar_0.0129mm_100npe.root,168.8,1.0,0.0129,ar,99.0,cf4,1.0,1.0,106.21,49.67638607359974,105.07,49.57134538045425,100
ar_99.0_cf4_1.0_172.3kVcm_10.000bar_0.0618mm_100npe.root,172.3,10.0,0.0618,ar,99.0,cf4,1.0,1.0,92.59,84.38333587704017,94.79,86.9906874152038,100
ar_99.0_cf4_1.0_18.1kVcm_1.000bar_0.5700mm_100npe.root,18.1,1.0,0.57,ar,99.0,cf4,1.0,1.0,148.87,133.65330205990105,152.0,137.2962586025658,100
ar_99.0_cf4_1.0_18.7kVcm_0.050bar_0.1399mm_100npe copy.root,18.7,0.05,0.1399,ar,99.0,cf4,1.0,1.0,109.11,58.09586208947408,106.98,57.57278748320128,100
ar_99.0_cf4_1.0_18.7kVcm_0.050bar_0.1399mm_100npe.root,18.7,0.05,0.1399,ar,99.0,cf4,1.0,1.0,109.11,58.09586208947408,106.98,57.57278748320128,100
ar_99.0_cf4_1.0_18.7kVcm_1.000bar_0.5010mm_100npe.root,18.7,1.0,0.501,ar,99.0,cf4,1.0,1.0,120.76,119.25603726538303,122.62,121.6189429025235,100
ar_99.0_cf4_1.0_182.3kVcm_10.000bar_0.0500mm_100npe.root,182.3,10.0,0.05,ar,99.0,cf4,1.0,1.0,71.34,60.010642153847776,72.24,61.370232642099815,100
ar_99.0_cf4_1.0_197.4kVcm_10.000bar_0.0416mm_100npe.root,197.4,10.0,0.0416,ar,99.0,cf4,1.0,1.0,98.8,88.6449050533599,99.79,90.2347438069117,100
ar_99.0_cf4_1.0_199.5kVcm_10.000bar_0.0404mm_100npe.root,199.5,10.0,0.0404,ar,99.0,cf4,1.0,1.0,116.4,95.45309282203971,117.71,97.383786736766,100
ar_99.0_cf4_1.0_2.3kVcm_0.050bar_1.3952mm_100npe copy.root,2.3,0.05,1.3952,ar,99.0,cf4,1.0,1.0,111.59,71.34594833229384,110.76,71.43480746227091,100
