level,gas,state_name,type,energy_eV,n_events,n_collisions
0,He, ELASTIC  ANISOTROPIC            HELIUM 4         ,elastic,0.0,247730890.0,0
1,He, IONISATION CHARGE STATE=1         ELOSS= 24.58739,ionisation,24.5874,386190.0,0
2,,,,,0.0,
3,He, ATTACHMENT                                       ,attachment,0.0,0.0,0
4,He, EXC  23S J=1    METASTABLE        ELOSS= 19.81961,excitation,19.8196,301568.0,0
5,He, EXC  21S J=0    METASTABLE        ELOSS= 20.61577,excitation,20.6158,246220.0,0
6,He," EXC  23P J=2,1,0                  ELOSS= 20.96409",excitation,20.9641,196537.0,0
7,He, EXC  21P J=1    RESONANT          ELOSS= 21.21802,excitation,21.218,241543.0,0
8,He, EXC  33S J=1                      ELOSS= 22.71847,excitation,22.7185,45645.0,0
9,He, EXC  31S J=0                      ELOSS= 22.92032,excitation,22.9203,31130.0,0
10,He," EXC  33P J=2,1,0                  ELOSS= 23.00707",excitation,23.0071,35349.0,0
11,He," EXC  33D J=3,2,1                  ELOSS= 23.07365",excitation,23.0737,7845.0,0
12,He, EXC  31D J=2                      ELOSS= 23.07407,excitation,23.0741,13805.0,0
13,He, EXC  31P J=1    RESONANT          ELOSS= 23.08702,excitation,23.087,45162.0,0
14,He, EXC  43S J=1                      ELOSS= 23.59396,excitation,23.594,13902.0,0
15,He, EXC  41S J=0                      ELOSS= 23.67357,excitation,23.6736,8941.0,0
16,He," EXC  43P J=2,1,0                  ELOSS= 23.70789",excitation,23.7079,11833.0,0
17,He," EXC  43D J=3,2,1                  ELOSS= 23.73609",excitation,23.7361,3750.0,0
18,He, EXC  41D J=2                      ELOSS= 23.73633,excitation,23.7363,6945.0,0
19,He," EXC  43F J=3,4,2                  ELOSS= 23.73701",excitation,23.737,590.0,0
20,He, EXC  41F J=3                      ELOSS= 23.73701,excitation,23.737,739.0,0
21,He, EXC  41P J=1    RESONANT          ELOSS= 23.74207,excitation,23.7421,17539.0,0
22,He, EXC  53S J=1                      ELOSS= 23.97197,excitation,23.972,6820.0,0
23,He, EXC  51S J=0                      ELOSS= 24.01121,excitation,24.0112,4327.0,0
24,He," EXC  53P J=2,1,0                  ELOSS= 24.02822",excitation,24.0282,5686.0,0
25,He," EXC  53D J=3,2,1                  ELOSS= 24.04266",excitation,24.0427,1810.0,0
26,He, EXC  51D J=2                      ELOSS= 24.04280,excitation,24.0428,3355.0,0
27,He," EXC  53F J=3,4,2                  ELOSS= 24.04315",excitation,24.0431,310.0,0
28,He, EXC  513 J=3                      ELOSS= 24.04315,excitation,24.0431,374.0,0
29,He, EXC  51P J=1    RESONANT          ELOSS= 24.04580,excitation,24.0458,8523.0,0
30,He, EXC  63S J=1                      ELOSS= 24.16900,excitation,24.169,3792.0,0
31,He, EXC  61S J=0                      ELOSS= 24.19116,excitation,24.1912,2371.0,0
32,He," EXC  63P J=2,1,0                  ELOSS= 24.20081",excitation,24.2008,3325.0,0
33,He," EXC  63D J=3,2,1                  ELOSS= 24.20916",excitation,24.2092,1004.0,0
34,He, EXC  61D J=2                      ELOSS= 24.20925,excitation,24.2092,1897.0,0
35,He, EXC  61P J=1    RESONANT          ELOSS= 24.21100,excitation,24.211,4767.0,0
36,He, EXC  73S J=1                      ELOSS= 24.28456,excitation,24.2846,2378.0,0
37,He, EXC  71S J=0                      ELOSS= 24.29828,excitation,24.2983,1485.0,0
38,He," EXC  73P J=2,1,0                  ELOSS= 24.30429",excitation,24.3043,1972.0,0
39,He," EXC  73D J=3,2,1                  ELOSS= 24.30954",excitation,24.3095,594.0,0
40,He, EXC  71D J=2                      ELOSS= 24.30960,excitation,24.3096,1154.0,0
41,He, EXC  71P J=1    RESONANT          ELOSS= 24.31071,excitation,24.3107,2847.0,0
42,He, EXC  N3S SUM HIGH                 ELOSS= 24.35810,excitation,24.3581,6942.0,0
43,He, EXC  N1S SUM HIGH                 ELOSS= 24.36718,excitation,24.3672,4415.0,0
44,He, EXC  N3P SUM HIGH                 ELOSS= 24.37116,excitation,24.3712,5876.0,0
45,He, EXC  N3D SUM HIGH                 ELOSS= 24.37468,excitation,24.3747,1939.0,0
46,He, EXC  N1D SUM HIGH                 ELOSS= 24.37472,excitation,24.3747,3442.0,0
47,He, EXC  81P J=1    RESONANT          ELOSS= 24.37547,excitation,24.3755,1855.0,0
48,He, EXC  91P J=1    RESONANT          ELOSS= 24.41989,excitation,24.4199,1245.0,0
49,He, EXC 101P J=1    RESONANT          ELOSS= 24.45168,excitation,24.4517,995.0,0
50,He, EXC 111P J=1    RESONANT          ELOSS= 24.47518,excitation,24.4752,683.0,0
51,He, EXC 121P J=1    RESONANT          ELOSS= 24.49308,excitation,24.4931,572.0,0
52,He, EXC  N1P SUM HI RESONANT          ELOSS= 24.50708,excitation,24.5071,2197.0,0
