fCF4,fCF4 real,Err fCF4 real,1.0bar,Err 1.0bar,2.0bar,Err 2.0bar,2.5bar,Err 2.5bar,3.0bar,Err 3.0bar,4.0bar,Err 4.0bar,5.0bar,Err 5.0bar
0.0,0.001,0.0001,0.0757345992104538,0.012289344285519662,0.08435235099813065,0.01579525252854404,0.0,0.0,0.1010026906069396,0.020199828687431053,0.10351059941242728,0.021329842569651924,0.09527384065825542,0.021404729732053544
0.1,0.1,0.010000000000000002,0.05739656012450252,0.024041036649211103,0.08391008149748025,0.036125628791813136,0.0,0.0,0.09054122050357992,0.0392667020276599,0.08989855498811748,0.03997690668809935,0.09435033629466773,0.04201158765764833
0.2,0.2,0.020000000000000004,0.05431351903047048,0.012752685982323368,0.07873002787771557,0.019269212484173175,0.0,0.0,0.09733313967834549,0.023505326323530515,0.09346502047125772,0.023873034779054256,0.07638728653124441,0.02087444085657715
0.5,0.5,0.05,0.056796264032375816,0.013522701264767284,0.0859991933971524,0.020898874425623926,0.0,0.0,0.09341453680049962,0.024128381801191114,0.11027920117503338,0.02812667439509664,0.11788315717627305,0.03024415440581205
1.0,1.0,0.1,0.05769662371485769,0.013875847638733667,0.07164551713877904,0.018655017159578232,0.0,0.0,0.079890207300587,0.021281381826012243,0.09285000964953274,0.0237955701306172,0.09953186425272154,0.025749113614960534
2.0,2.0,0.2,0.07609179217532333,0.016234837118994403,0.08790217146916472,0.01930603453338731,0.0,0.0,0.10469745379791873,0.022685833037548002,0.10860474171711498,0.023755925178697145,0.11688077467871191,0.025847284876421343
5.0,5.0,0.5,0.12008474239879696,0.03349855217313666,0.1288114096346796,0.03420295631028446,0.0,0.0,0.13283694950148373,0.031974000956270905,0.14305218811139056,0.03430976715125352,0.14715305690682412,0.030250665788501482
10.0,10.0,1.0,0.19195136704234567,0.03517709040622424,0.20418129285289627,0.03911996001982719,0.0,0.0,0.2065187156235424,0.038554217160818666,0.21762368053336859,0.03985346082610631,0.21942486280244727,0.04132250088083547
20.0,20.0,2.0,0.2922634705588626,0.05169148805019521,0.30462615374466623,0.054532916467271195,0.0,0.0,0.3036138834974625,0.054181869371260766,0.32030553037683385,0.056331431471366544,0.3480799199896489,0.06170688587870158
50.0,50.0,5.0,0.5074742001410487,0.08771299182848118,0.5038684003863608,0.08794681222994749,0.0,0.0,0.5019685592624562,0.08756957383636056,0.4958141057197907,0.08628577709036035,0.5060275532826001,0.08751041504993227
100.0,100.0,10.0,0.9002312009597964,0.1902646913822836,0.0,0.0,0.8491885393784194,0.13296029369058726,0.0,0.0,0.6958206790012113,0.14654181845914657,0.0,0.0
