file,electric_field,pressure,gap,gas1,concentration_gas_1,gas2,concentration_gas_2,concentration,ne_mean,ne_std,ni_mean,ni_std,n_entries
ar_99.0_cf4_1.0_147.5kVcm_10.000bar_0.2059mm_10npe.root,147.5,10.0,0.2059,ar,99.0,cf4,1.0,1.0,9391.9,6680.369192226163,9988.2,7106.054645316361,10
ar_99.0_cf4_1.0_16.5kVcm_1.000bar_1.3860mm_10npe.root,16.5,1.0,1.386,ar,99.0,cf4,1.0,1.0,5133.4,3398.352744754108,5333.0,3533.25940174225,10
ar_99.0_cf4_1.0_170.0kVcm_10.000bar_0.1256mm_10npe.root,170.0,10.0,0.1256,ar,99.0,cf4,1.0,1.0,9685.2,8796.205100938574,10021.2,9100.143866994633,10
ar_99.0_cf4_1.0_19.4kVcm_0.050bar_0.3016mm_10npe.root,19.4,0.05,0.3016,ar,99.0,cf4,1.0,1.0,32561.3,15920.048834724095,32181.0,15737.94087194665,10
ar_99.0_cf4_1.0_192.5kVcm_10.000bar_0.0858mm_10npe.root,192.5,10.0,0.0858,ar,99.0,cf4,1.0,1.0,4767.4,5796.8117520658625,4870.3,5922.396250205185,10
ar_99.0_cf4_1.0_21.0kVcm_1.000bar_0.6736mm_10npe.root,21.0,1.0,0.6736,ar,99.0,cf4,1.0,1.0,3873.1,2943.1606763251416,3932.4,2987.7433401593694,10
ar_99.0_cf4_1.0_215.0kVcm_10.000bar_0.0633mm_10npe.root,215.0,10.0,0.0633,ar,99.0,cf4,1.0,1.0,8752.9,5761.55028230732,8877.0,5846.416186196653,10
ar_99.0_cf4_1.0_22.4kVcm_1.000bar_0.5700mm_10npe.root,22.4,1.0,0.57,ar,99.0,cf4,1.0,1.0,7298.3,3822.0982035758548,7390.0,3864.6745442964966,10
ar_99.0_cf4_1.0_237.5kVcm_10.000bar_0.0492mm_10npe.root,237.5,10.0,0.0492,ar,99.0,cf4,1.0,1.0,6211.2,5493.067667524222,6274.2,5548.792717539755,10
ar_99.0_cf4_1.0_238.5kVcm_10.000bar_0.0500mm_10npe.root,238.5,10.0,0.05,ar,99.0,cf4,1.0,1.0,8062.5,9583.300605741219,8144.4,9682.488181132872,10
ar_99.0_cf4_1.0_25.5kVcm_0.050bar_0.2566mm_10npe.root,25.5,0.05,0.2566,ar,99.0,cf4,1.0,1.0,21370.2,13560.708952296296,20966.2,13299.841902151404,10
ar_99.0_cf4_1.0_25.5kVcm_1.000bar_0.4164mm_10npe.root,25.5,1.0,0.4164,ar,99.0,cf4,1.0,1.0,4794.0,3354.404401512866,4831.9,3379.9184227499404,10
ar_99.0_cf4_1.0_260.0kVcm_10.000bar_0.0398mm_10npe.root,260.0,10.0,0.0398,ar,99.0,cf4,1.0,1.0,8900.0,9078.40829171673,8968.2,9147.051009903562,10
ar_99.0_cf4_1.0_30.0kVcm_1.000bar_0.2932mm_10npe.root,30.0,1.0,0.2932,ar,99.0,cf4,1.0,1.0,11220.7,5562.582414870114,11274.7,5591.285164332874,10
ar_99.0_cf4_1.0_31.6kVcm_0.050bar_0.2279mm_10npe.root,31.6,0.05,0.2279,ar,99.0,cf4,1.0,1.0,15143.4,10176.683253616791,14758.0,9911.725267468715,10
ar_99.0_cf4_1.0_32.5kVcm_1.000bar_0.2501mm_10npe.root,32.5,1.0,0.2501,ar,99.0,cf4,1.0,1.0,4900.8,4686.361791885518,4918.3,4705.8359996450745,10
ar_99.0_cf4_1.0_37.8kVcm_0.050bar_0.2075mm_10npe.root,37.8,0.05,0.2075,ar,99.0,cf4,1.0,1.0,10099.3,6938.922891919177,9797.9,6733.610480269853,10
ar_99.0_cf4_1.0_43.9kVcm_0.050bar_0.1922mm_10npe.root,43.9,0.05,0.1922,ar,99.0,cf4,1.0,1.0,6599.6,5767.02983827512,6371.0,5560.830773264808,10
ar_99.0_cf4_1.0_45.0kVcm_1.000bar_0.1410mm_10npe.root,45.0,1.0,0.141,ar,99.0,cf4,1.0,1.0,7812.5,4724.201713870115,7823.2,4732.179150360974,10
ar_99.0_cf4_1.0_50.0kVcm_0.050bar_0.1801mm_10npe.root,50.0,0.05,0.1801,ar,99.0,cf4,1.0,1.0,3772.7,3805.1558604375487,3630.1,3660.5189507621576,10
ar_99.0_cf4_1.0_57.5kVcm_1.000bar_0.0970mm_10npe.root,57.5,1.0,0.097,ar,99.0,cf4,1.0,1.0,6390.5,3503.3646763583656,6393.9,3505.666728471363,10
ar_99.0_cf4_1.0_7.1kVcm_0.050bar_0.6288mm_10npe.root,7.1,0.05,0.6288,ar,99.0,cf4,1.0,1.0,15368.6,4729.942522554229,15360.6,4729.662759882804,10
ar_99.0_cf4_1.0_7.6kVcm_0.050bar_0.5700mm_10npe.root,7.6,0.05,0.57,ar,99.0,cf4,1.0,1.0,12199.0,3858.2041015074474,12189.4,3856.0752701275023,10
ar_99.0_cf4_1.0_70.0kVcm_1.000bar_0.0736mm_10npe.root,70.0,1.0,0.0736,ar,99.0,cf4,1.0,1.0,14956.9,5297.467056161002,14963.6,5300.551254350816,10
ar_99.0_cf4_1.0_82.5kVcm_1.000bar_0.0592mm_10npe.root,82.5,1.0,0.0592,ar,99.0,cf4,1.0,1.0,14006.0,4897.273708685045,14008.7,4898.242837998132,10
ar_99.0_cf4_1.0_94.1kVcm_1.000bar_0.0500mm_10npe.root,94.1,1.0,0.05,ar,99.0,cf4,1.0,1.0,14398.9,5030.73287018016,14400.4,5031.323841694152,10
ar_99.0_cf4_1.0_95.0kVcm_1.000bar_0.0494mm_10npe.root,95.0,1.0,0.0494,ar,99.0,cf4,1.0,1.0,11863.6,7784.353069530641,11864.0,7784.42867381915,10
ar_99.5_cf4_0.5_112.0kVcm_10.000bar_0.5700mm_10npe.root,112.0,10.0,0.57,ar,99.5,cf4,0.5,0.5,15388.6,15108.123232221798,17073.1,16795.106095725227,10
ar_99.5_cf4_0.5_22.5kVcm_1.000bar_0.5700mm_10npe.root,22.5,1.0,0.57,ar,99.5,cf4,0.5,0.5,11114.1,7795.129753748669,11180.4,7841.048869748089,10
ar_99.5_cf4_0.5_237.2kVcm_10.000bar_0.0500mm_10npe.root,237.2,10.0,0.05,ar,99.5,cf4,0.5,0.5,5776.5,5077.360211982425,5803.6,5101.859186174738,10
ar_99.5_cf4_0.5_7.9kVcm_0.050bar_0.5700mm_10npe.root,7.9,0.05,0.57,ar,99.5,cf4,0.5,0.5,13187.6,8387.330381792131,13176.0,8382.028911108973,10
ar_99.5_cf4_0.5_92.0kVcm_1.000bar_0.0500mm_10npe.root,92.0,1.0,0.05,ar,99.5,cf4,0.5,0.5,9680.7,6311.1020353025515,9680.7,6312.03800597627,10
ar_99.9_cf4_0.1_107.0kVcm_10.000bar_0.5700mm_10npe.root,107.0,10.0,0.57,ar,99.9,cf4,0.1,0.1,3492.5,2989.340702116996,3580.0,3060.6691715665347,10
ar_99.9_cf4_0.1_22.3kVcm_1.000bar_0.5700mm_10npe.root,22.3,1.0,0.57,ar,99.9,cf4,0.1,0.1,6435.9,6076.972536642823,6444.1,6086.2024731719575,10
ar_99.9_cf4_0.1_237.8kVcm_10.000bar_0.0500mm_10npe.root,237.8,10.0,0.05,ar,99.9,cf4,0.1,0.1,8364.3,7941.958575257813,8371.0,7948.486480666199,10
ar_99.9_cf4_0.1_7.8kVcm_0.050bar_0.5700mm_10npe.root,7.8,0.05,0.57,ar,99.9,cf4,0.1,0.1,12039.6,6820.42520994435,12029.2,6814.35711160227,10
ar_99.9_cf4_0.1_92.1kVcm_1.000bar_0.0500mm_10npe.root,92.1,1.0,0.05,ar,99.9,cf4,0.1,0.1,8783.9,3570.4632581470123,8783.2,3570.5672067302944,10
cf4_100.0_ar_0.0_109.8kVcm_1.000bar_0.0500mm_10npe.root,109.8,1.0,0.05,cf4,100.0,ar,0.0,100.0,6938.2,4093.813755737633,7079.4,4180.533278050647,10
cf4_100.0_ar_0.0_339.4kVcm_10.000bar_0.5700mm_10npe.root,339.4,10.0,0.57,cf4,100.0,ar,0.0,100.0,0.0,0.0,0.9,1.728840330651992,10
cf4_100.0_ar_0.0_43.6kVcm_1.000bar_0.5700mm_10npe.root,43.6,1.0,0.57,cf4,100.0,ar,0.0,100.0,10217.6,17059.85993950582,15629.1,26077.851920100067,10
cf4_100.0_ar_0.0_446.9kVcm_10.000bar_0.0500mm_10npe.root,446.9,10.0,0.05,cf4,100.0,ar,0.0,100.0,7763.5,11615.833621493646,11332.9,16928.30606115095,10
cf4_100.0_ar_0.0_8.5kVcm_0.050bar_0.5700mm_10npe.root,8.5,0.05,0.57,cf4,100.0,ar,0.0,100.0,10430.3,6259.672516283189,10490.2,6293.71117862903,10
