fCF4,Ar** all,Err Ar** all,Ar** 2exc,Err Ar** 2exc
0.001,198.1232,0.1507573300673097,125.8406,0.12217837142296709
0.002,197.7733,0.1506302127966024,125.79420000000002,0.12215810019696977
0.005,196.5554,0.150198355126316,125.1832,0.12188529741285162
0.01,194.2345,0.14936668673339573,124.06089999999999,0.12138271859909666
0.02,190.412,0.14798908029856161,122.22349999999999,0.12055488658882586
0.05,180.25069999999997,0.14425758048296755,116.95280000000002,0.1181449839047575
0.1,165.08429999999998,0.13848560661379614,108.04919999999998,0.1139467607518956
0.2,139.45759999999999,0.12809227018008568,92.571,0.10621391199389034
0.5,80.8394,0.09991072305996798,54.644000000000005,0.08392150083319813
1.0,0.0,0.01,0.0,0.01
