fCF4,fCF4 real,Err fCF4 real,1.0bar,Err 1.0bar,2.0bar,Err 2.0bar,2.5bar,Err 2.5bar,3.0bar,Err 3.0bar,4.0bar,Err 4.0bar,5.0bar,Err 5.0bar
0.0,0.001,0.0001,0.0757345992104538,0.010776788930799835,0.08435235099813065,0.012003067184623316,0.0,0.0,0.1010026906069396,0.014372356749246801,0.10351059941242728,0.014729224074567043,0.09527384065825542,0.013557159899235994
0.1,0.1,0.010000000000000002,0.05739656012450252,0.023439295498018414,0.08391008149748025,0.03426674335911335,0.0,0.0,0.09054122050357992,0.03697473189214138,0.08989855498811748,0.036712283639308195,0.09435033629466773,0.03853027791127224
0.2,0.2,0.020000000000000004,0.05431351903047048,0.010364269764011754,0.07873002787771557,0.015023501736189045,0.0,0.0,0.09733313967834549,0.01857340372364141,0.09346502047125772,0.01783527753227602,0.07638728653124441,0.014576452755832801
0.5,0.5,0.05,0.056796264032375816,0.011416410396902606,0.0859991933971524,0.01728638498237891,0.0,0.0,0.09341453680049962,0.01877691618137325,0.11027920117503338,0.022166821010253357,0.11788315717627305,0.02369526454133945
1.0,1.0,0.1,0.05769662371485769,0.011093176630834424,0.07164551713877904,0.013775093328784935,0.0,0.0,0.079890207300587,0.015360278012787276,0.09285000964953274,0.017852024796239638,0.09953186425272154,0.01913672723742667
2.0,2.0,0.2,0.07609179217532333,0.01072541672185713,0.08790217146916472,0.012390132927749325,0.0,0.0,0.10469745379791873,0.014757489468939431,0.10860474171711498,0.015308236007923545,0.11688077467871191,0.016474773157060883
5.0,5.0,0.5,0.12008474239879696,0.022681059899277278,0.1288114096346796,0.024329313110670246,0.0,0.0,0.13283694950148373,0.025089638769218086,0.14305218811139056,0.027019046570479505,0.14715305690682412,0.027793600014408427
10.0,10.0,1.0,0.19195136704234567,0.015379687215626088,0.20418129285289627,0.016359583511936844,0.0,0.0,0.2065187156235424,0.016546864444899872,0.21762368053336859,0.0174366256874752,0.21942486280244727,0.017580941512590688
20.0,20.0,2.0,0.2922634705588626,0.023416977076058245,0.30462615374466623,0.02440751026929982,0.0,0.0,0.3036138834974625,0.024326404309912494,0.32030553037683385,0.025663786335755428,0.3480799199896489,0.027889149100459233
50.0,50.0,5.0,0.5074742001410487,0.0406602702988178,0.5038684003863608,0.04037136340930841,0.0,0.0,0.5019685592624562,0.04021914275730028,0.4958141057197907,0.039726030507422856,0.5060275532826001,0.04054436085499759
100.0,100.0,10.0,0.9002312009597964,0.12751973382542137,0.0,0.0,0.8491885393784194,0.0,0.0,0.0,0.6958206790012113,0.0985645328465138,0.0,0.0
