fCF4,fCF4 real,Err fCF4 real,1.0bar,Err 1.0bar,2.0bar,Err 2.0bar,2.5bar,Err 2.5bar,3.0bar,Err 3.0bar,4.0bar,Err 4.0bar,5.0bar,Err 5.0bar
0.1,0.1,0.010000000000000002,0.008298215160168569,0.004657097146433892,0.009165373947587227,0.0051437611623028736,0.0,0.0,0.0077213175987267575,0.0043333325855833445,0.004640668947655552,0.0026044210347074223,0.006450774346133689,0.0036202824607235043
0.2,0.2,0.020000000000000004,0.026714766207314895,0.008679215015882957,0.027538842632200057,0.008946944721080229,0.0,0.0,0.026523051411667335,0.008616929839204314,0.022553561633739075,0.007327303906541075,0.012281156486204741,0.003989958098839377
0.5,0.5,0.05,0.04030110321071071,0.007560226949997858,0.04200253254466378,0.007879404115863886,0.0,0.0,0.04309017994053106,0.008083439750107899,0.044454601946165864,0.008339396515465848,0.03918130837806157,0.007350160664020546
1.0,1.0,0.1,0.066421828310642,0.009926213426763237,0.06861845890079205,0.010254482380090028,0.0,0.0,0.07030971153647925,0.010507226621665162,0.06770301396983883,0.010117676423430833,0.06537162324970129,0.009769268641563848
2.0,2.0,0.2,0.10304164246920276,0.007028426844694401,0.10621534261510039,0.007244903589124249,0.0,0.0,0.1084996715357311,0.007400716698495747,0.10485288199471525,0.007151970726548655,0.10684353810302355,0.00728775253761956
5.0,5.0,0.5,0.1649709029971847,0.01791562292585323,0.17285062017886968,0.01877134984026458,0.0,0.0,0.17506173775129663,0.019011474298291007,0.18105276474278284,0.019662091943997338,0.18477197554765187,0.02006599334206952
10.0,10.0,1.0,0.1841804479538825,0.019978794634797292,0.20178297240111362,0.021888211323116386,0.0,0.0,0.20658194401388746,0.022408775092913696,0.21248519799082774,0.02304912481620176,0.2174455798215378,0.02358719740211897
20.0,20.0,2.0,0.18688078223253662,0.02027171076459215,0.20439649487666103,0.02217171062715469,0.0,0.0,0.21371621659411003,0.02318265835974461,0.22896659545010917,0.02483692834687784,0.2287088377768972,0.024808968334423455
50.0,50.0,5.0,0.16886403915683157,0.018317362114145024,0.18329038690876565,0.019882246130162994,0.0,0.0,0.19556040073805678,0.02121322392495537,0.21021492307494277,0.022802858956753123,0.2285102030007669,0.024787421620623355
100.0,100.0,10.0,0.09976879904020358,0.009332408677883762,0.0,0.0,0.11293965418091245,0.0,0.0,0.0,0.12259408499026844,0.01146749398235581,0.0,0.0
