fCF4,CF3 >11.4,Err CF3 >11.4,CF3 >12.5,Err CF3 >12.5,CF3 >14.5,Err CF3 >14.5,CF3 >15.62,Err CF3 >15.62
0.001,0.1966,0.004433959877485483,0.17320000000000002,0.0041617302899378174,0.0711,0.0026664583626703074,0.0554,0.0023537204849659716
0.002,0.416,0.0064498076859748656,0.36049999999999993,0.006004166481283125,0.1505,0.0038794326721146226,0.11879999999999999,0.003446737316538577
0.005,1.0243000000000002,0.010120771829016257,0.8886,0.009426560879520927,0.3825,0.006184659260394147,0.2983,0.00546168532740803
0.01,2.0372000000000003,0.014273055728248569,1.7671000000000003,0.01329323590294597,0.7604000000000001,0.008720090648342362,0.5981000000000001,0.007733691393044822
0.02,4.037800000000001,0.02009428049502239,3.5088999999999997,0.018732058963390245,1.4889999999999999,0.01220246634640531,1.1662,0.010799080221318305
0.05,9.8153,0.03132937358356568,8.5669,0.02926926887880603,3.5947999999999998,0.018959961646708007,2.8111999999999995,0.016766638142342156
0.1,19.0325,0.04362627094303488,16.6302,0.04078015874513677,6.922,0.026309710000473704,5.4133000000000004,0.02326650704659941
0.2,36.0685,0.060057010822610606,31.514499999999998,0.05613774323917311,12.908700000000001,0.035928674430245396,10.0778,0.03174555757331435
0.5,82.1832,0.09065521838041093,71.3751,0.08448398288529123,27.390300000000003,0.05233559785762391,21.2181,0.04606297734003621
1.0,158.869,0.1260427707575189,136.011,0.1166230924186093,47.41709999999999,0.06886014410683843,36.494099999999996,0.0604103791017415
