concentration,Ar_696,ErrAr_696,Ar_727,ErrAr_727,Ar_750,ErrAr_750,Ar_763,ErrAr_763,Ar_772,ErrAr_772,Ar_794,ErrAr_794
0.001,108.1357,0.10398796913587752,108.1357,0.10398796913587752,107.0418,0.10346065490538886,117.0034,0.1081677653644827,108.1357,0.10398796913587752,112.1794,0.10591443725655171
0.002,108.0832,0.10396322068548099,108.0832,0.10396322068548099,106.98470000000003,0.10343356333934835,116.93830000000001,0.10813814088620971,108.0832,0.10396322068548099,112.1075,0.10588095841393982
0.005,107.5294,0.10369638870638856,107.5294,0.10369638870638856,106.44220000000001,0.10317083299296953,116.3151,0.10784949190635974,107.5294,0.10369638870638856,111.52969999999999,0.10560762515819117
0.01,106.642,0.10326769515490464,106.642,0.10326769515490464,105.55939999999998,0.10274219106517765,115.35000000000001,0.10740119616943102,106.642,0.10326769515490464,110.6001,0.1051666646476434
0.02,105.03960000000001,0.10248899374775446,105.03960000000001,0.10248899374775446,103.9582,0.1019600571238582,113.65880000000001,0.10661103927312146,105.03960000000001,0.10248899374775446,108.98680000000002,0.10439691282194097
0.05,100.35510000000001,0.10017769834622796,100.35510000000001,0.10017769834622796,99.31630000000001,0.0996578676593693,108.67290000000001,0.10424657737953695,100.35510000000001,0.10017769834622796,104.1626,0.10206038270052932
0.1,92.5441,0.09619987655222838,92.5441,0.09619987655222838,91.59639999999999,0.09570604330840805,100.3271,0.10016346425617127,92.5441,0.09619987655222838,96.11479999999999,0.09803817379624266
0.2,78.9148,0.08883408165469886,78.9148,0.08883408165469886,78.07179999999998,0.08835832438236374,85.76299999999999,0.09260840859369036,78.9148,0.08883408165469886,82.0815,0.09059893309680583
0.5,46.0376,0.06785092395514886,46.0376,0.06785092395514886,45.5001,0.0674536713415271,50.312400000000004,0.07093115189092068,46.0376,0.06785092395514886,48.0292,0.0693030173929056
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
