concentration,Ar_meta,ErrAr_meta,Ar_res,ErrAr_res,Ar_dbleStar,ErrAr_dbleStar,N2_star,ErrN2_star
0.001,18.9637,0.04354824068,25.2716,0.050270266720000005,159.6524,0.1263530800498697,0.2584,0.005083303695816441
0.005,18.3229,0.042805958979999996,24.676,0.049675255599999996,158.0482,0.1257178857593667,1.2445,0.011155721619341308
0.01,17.5428,0.041883435000000004,23.8485,0.04883457345,156.3251,0.1250293801216641,2.464,0.01569711547439708
0.05,13.4125,0.03662283125,19.8288,0.04452953616,144.5412,0.12022430175562475,11.2677,0.03356734553605825
0.1,10.5074,0.032415329,16.9026,0.041112193979999996,132.8944,0.11527930740179321,21.124800000000004,0.0459618735296217
0.2,7.3425,0.027096761999999996,13.3262,0.03650445966,113.3274,0.10645497515919701,39.2248,0.0626295025657979
0.5,3.2226,0.0179514933,7.0123,0.02648054849,65.4739,0.08091613469059668,87.6732,0.09363401452769754
1.0,0.0,0.0,0.0,0.0,0.0,0.0,160.1823,0.1265627558328954
