,parameter,uncertainty
Nnorm,0.0032,0.01
PCF3dir vis$,0.109,0.01
PAr**,0.271,0.01
KAr**QAr,0.12852229511616647,0.193635676784371
KAr**QCF4,2.6404877147077626,3.575077541872093
1/tauDiscKrelax,0.001512437066495689,0.0038428470703599327
tauUvKCF4QCF4,0.065,0.01
PCF4dir,0.32877208769734445,0.048453640393795946
KAr++QCF4,50.05,0.01
PAr++,0.6418835664549418,0.1989038189226911
PCF3dir uv$,0.2,0.01
