Gas,Proceso,Energia,Eventos,Error%
NITROGEN,VIBRATION 5V1,1.4088,7.1076,0.37509
NITROGEN,VIBRATION 6V1,1.6801,36.7162,0.16503
NITROGEN,VIBRATION 7V1,1.9475,2.9026,0.58696
NITROGEN,VIBRATION 8V1,2.2115,0.7299,1.17049
NITROGEN,VIBRATION 9V1,2.4718,0.2836,1.87779
NITROGEN,VIBRATION 10V1,2.7284,0.137,2.70172
NITROGEN,VIBRATION 11V1,2.9815,0.0236,6.50945
NITROGEN,VIBRATION 12V1,3.231,0.0049,14.28571
NITROGEN,VIBRATION 13V1,3.4769,0.0028,18.89822
NITROGEN,VIBRATION 14V1,3.7191,0.0034,17.14986
NITROGEN,VIBRATION 15V1,3.9576,0.0036,16.66667
NITROGEN,A3SIG V=0-4,6.725,13.6991,0.27018
NITROGEN,A3SIG V=5-9,7.36,29.7561,0.18332
NITROGEN,B 3PI V=0-3,7.744,39.3746,0.15936
NITROGEN,W3DEL V=0-5,8.05,6.5309,0.3913
NITROGEN,A3SIG V=10-21,8.217,18.3868,0.23321
NITROGEN,B 3PI V=4-16,8.451,23.1335,0.20791
NITROGEN,W3DEL V=6-10,8.729,13.0722,0.27658
NITROGEN,A 1PI V=0-3,8.95,15.0962,0.25737
NITROGEN,B!3SIG V=0-6,8.974,2.4606,0.6375
NITROGEN,A!1SIG V=0-6,9.191,1.6023,0.79
NITROGEN,W3DEL V=11-19,9.562,7.3912,0.36783
NITROGEN,W 1DEL V=0-5,9.59,1.5849,0.79433
NITROGEN,A 1PI V=4-15,9.665,14.0701,0.26659
NITROGEN,B!3SIG V=7-18,9.933,5.0856,0.44343
NITROGEN,A!1SIG V=7-19,10.174,2.7676,0.6011
NITROGEN,W 1DEL V=6-18,10.536,3.2093,0.55821
NITROGEN,C 3PI V=0-4,11.188,17.5609,0.23863
NITROGEN,E 3SIG,11.875,1.4055,0.8435
NITROGEN,A!!1SIG V=0-1,12.289,2.948,0.58242
NITROGEN,B 1PI V=0-6 F=0.1855,12.781,23.5048,0.20626
NITROGEN,C!1SIG V=0-3 F=0.1500,13.0,15.4009,0.25482
NITROGEN,G 3PI V=0-3,13.001,1.6318,0.78283
NITROGEN,C3 1PI V=0-3 F=0.1500,13.076,17.6392,0.2381
NITROGEN,F 3PI V=0-3,13.174,0.955,1.02329
NITROGEN,B 1PI V=7-14 F=0.0663,13.338,7.5985,0.36277
NITROGEN,B!1SIG V=0-10 F=0.0601,13.385,6.8518,0.38203
NITROGEN,O3 1PI V=0-3 F=0.0828,13.628,8.8117,0.33688
NITROGEN,C!1SIG V=4-6 F=0.1390,14.09,14.311,0.26434
NITROGEN,B!1SIG V=11-24 F=0.2650,14.232,26.7574,0.19332
NITROGEN,E!1SIG F=0.0108,14.36,1.0781,0.9631
NITROGEN,E 1PI F=0.0237,14.45,2.3278,0.65543
NITROGEN,SINGLET LEVEL F=0.0117,14.839,1.0976,0.9545
NITROGEN,SUM HIGH SINGLETS F=0.1152,15.2,10.3023,0.31155
NITROGEN,NEUTRAL DISS ABOVE IONIS. ENERGY,15.6,28.6745,0.18675
NITROGEN,NEUTRAL DISS ABOVE IONIS. ENERGY,16.6,13.7014,0.27016
NITROGEN,BREMSSTRAHLUNG FROM NITROGEN ATOMS,,0.002,22.36068
