Gas,Proceso,Energia,Eventos,Error%
ARGON,ELASTIC ANISOTROPIC ARGON,,569140.0993,0.00133
ARGON,IONISATION CHARGE STATE =1,15.75961,372.192,0.05183
ARGON,IONISATION CHARGE STATE =2,43.38928,15.2225,0.2563
ARGON,IONISATION CHARGE STATE =3,84.124,1.8676,0.73174
ARGON,IONISATION L3 SHELL,248.4,3.9732,0.50168
ARGON,IONISATION L2 SHELL,250.6,1.9302,0.71978
ARGON,IONISATION L1 SHELL,326.3,0.9376,1.03274
ARGON,IONISATION K SHELL,3205.9,0.0197,7.1247
ARGON,ATTACHMENT,,0.0,0.0
ARGON,EXC 1S5 J=2 METASTABLE,11.548,13.4125,0.27305
ARGON,EXC 1S4 J=1 RESONANT,11.624,19.8288,0.22457
ARGON,EXC 1S3 J=0 METASTABLE,11.723,2.471,0.63616
ARGON,EXC 1S2 J=1 RESONANT,11.828,45.5589,0.14815
ARGON,EXC 2P10 J=1,12.907,2.4771,0.63537
ARGON,EXC 2P9 J=3,13.076,2.4166,0.64328
ARGON,EXC 2P8 J=2,13.095,2.4986,0.63263
ARGON,EXC 2P7 J=1,13.153,1.3748,0.85286
ARGON,EXC 2P6 J=2,13.172,2.3213,0.65635
ARGON,EXC 2P5 J=0,13.273,1.2239,0.90391
ARGON,EXC 2P4 J=1,13.283,1.3574,0.85831
ARGON,EXC 2P3 J=2,13.302,1.6085,0.78848
ARGON,EXC 2P2 J=1,13.328,0.7885,1.12616
ARGON,EXC 2P1 J=0,13.48,4.0277,0.49828
ARGON,EXC 3D6 J=0,13.845,0.9891,1.00549
ARGON,EXC 3D5 J=1 RESONANT,13.864,3.976,0.50151
ARGON,EXC 3D3 J=2,13.903,3.5638,0.52972
ARGON,EXC 3D4! J=4,13.979,3.5315,0.53213
ARGON,EXC 3D4 J=3,14.013,1.4499,0.83048
ARGON,EXC 3D1!! J=2,14.063,1.5103,0.81371
ARGON,EXC 2S5 J=2,14.068,1.5043,0.81533
ARGON,EXC 2S4 J=1 RESONANT,14.09,2.8302,0.59442
ARGON,EXC 3D1! J=3,14.099,0.4891,1.42989
ARGON,EXC 3D2 J=1 RESONANT,14.153,7.9977,0.3536
ARGON,EXC 3S1!!!!J=2,14.214,1.7665,0.75239
ARGON,EXC 3S1!! J=2,14.234,1.1394,0.93683
ARGON,EXC 3S1!!! J=3,14.236,0.7402,1.16232
ARGON,EXC 2S3 J=0,14.241,0.294,1.84428
ARGON,EXC 2S2 J=1 RESONANT,14.255,1.1765,0.92194
ARGON,EXC 3S1! J=1 RESONANT,14.304,9.7508,0.32024
ARGON,EXC 4D5 J=1 RESONANT,14.711,0.1872,2.31125
ARGON,EXC 3S4 J=1 RESONANT,14.848,1.394,0.84697
ARGON,EXC 4D2 J=1 RESONANT,14.859,4.6771,0.46239
ARGON,EXC 4S1! J=1 RESONANT,15.004,1.9362,0.71866
ARGON,EXC 3S2 J=1 RESONANT,15.022,2.0588,0.69694
ARGON,EXC 5D5 J=1 RESONANT,15.118,0.3828,1.61627
ARGON,EXC 4S4 J=1 RESONANT,15.186,3.9197,0.5051
ARGON,EXC 5D2 J=1 RESONANT,15.19,3.9119,0.5056
ARGON,EXC 6D5 J=1 RESONANT,15.308,0.0699,3.78235
ARGON,EXC 5S1! J=1 RESONANT,15.351,0.0472,4.60287
ARGON,EXC 4S2 J=1 RESONANT,15.36,0.0646,3.93445
ARGON,EXC 5S4 J=1 RESONANT,15.366,1.1593,0.92876
ARGON,EXC 6D2 J=1 RESONANT,15.374,2.6151,0.61838
ARGON,EXC HIGH J=1 RESONANT,15.66,11.2838,0.2977
ARGON,BREMSSTRAHLUNG FROM ARGON ATOM,,0.0037,16.4399
