Gas,Proceso,Energia,Eventos,Error%
NITROGEN,VIBRATION 6V1,1.6801,9.4169,0.32587
NITROGEN,VIBRATION 7V1,1.9475,0.7322,1.16865
NITROGEN,VIBRATION 8V1,2.2115,0.1723,2.40911
NITROGEN,VIBRATION 9V1,2.4718,0.0657,3.90137
NITROGEN,VIBRATION 10V1,2.7284,0.0358,5.28516
NITROGEN,VIBRATION 11V1,2.9815,0.0048,14.43376
NITROGEN,VIBRATION 12V1,3.231,0.0012,28.86751
NITROGEN,VIBRATION 13V1,3.4769,0.0002,70.71068
NITROGEN,VIBRATION 14V1,3.7191,0.0012,28.86751
NITROGEN,VIBRATION 15V1,3.9576,0.0015,25.81989
NITROGEN,A3SIG V=0-4,6.725,3.6904,0.52055
NITROGEN,A3SIG V=5-9,7.36,8.9499,0.33427
NITROGEN,B 3PI V=0-3,7.744,12.0297,0.28832
NITROGEN,W3DEL V=0-5,8.05,0.8962,1.05632
NITROGEN,A3SIG V=10-21,8.217,5.1211,0.44189
NITROGEN,B 3PI V=4-16,8.451,6.8542,0.38196
NITROGEN,W3DEL V=6-10,8.729,1.5051,0.81511
NITROGEN,A 1PI V=0-3,8.95,0.775,1.13592
NITROGEN,B!3SIG V=0-6,8.974,0.1047,3.09049
NITROGEN,A!1SIG V=0-6,9.191,0.0914,3.30771
NITROGEN,W3DEL V=11-19,9.562,0.6146,1.27557
NITROGEN,W 1DEL V=0-5,9.59,0.0696,3.79049
NITROGEN,A 1PI V=4-15,9.665,0.5783,1.31499
NITROGEN,B!3SIG V=7-18,9.933,0.1669,2.44778
NITROGEN,A!1SIG V=7-19,10.174,0.1085,3.03588
NITROGEN,W 1DEL V=6-18,10.536,0.0856,3.41793
NITROGEN,C 3PI V=0-4,11.188,0.3789,1.62457
NITROGEN,E 3SIG,11.875,0.0434,4.80015
NITROGEN,A!!1SIG V=0-1,12.289,0.0229,6.60819
NITROGEN,B 1PI V=0-6 F=0.1855,12.781,0.1402,2.67071
NITROGEN,C!1SIG V=0-3 F=0.1500,13.0,0.0888,3.35578
NITROGEN,G 3PI V=0-3,13.001,0.0123,9.0167
NITROGEN,C3 1PI V=0-3 F=0.1500,13.076,0.1106,3.00692
NITROGEN,F 3PI V=0-3,13.174,0.0053,13.73606
NITROGEN,B 1PI V=7-14 F=0.0663,13.338,0.0429,4.82805
NITROGEN,B!1SIG V=0-10 F=0.0601,13.385,0.0394,5.03793
NITROGEN,O3 1PI V=0-3 F=0.0828,13.628,0.0482,4.55488
NITROGEN,C!1SIG V=4-6 F=0.1390,14.09,0.0774,3.59443
NITROGEN,B!1SIG V=11-24 F=0.2650,14.232,0.1531,2.55571
NITROGEN,E!1SIG F=0.0108,14.36,0.0063,12.59882
NITROGEN,E 1PI F=0.0237,14.45,0.0122,9.05357
NITROGEN,SINGLET LEVEL F=0.0117,14.839,0.0062,12.70001
NITROGEN,SUM HIGH SINGLETS F=0.1152,15.2,0.0564,4.21076
NITROGEN,NEUTRAL DISS ABOVE IONIS. ENERGY,15.6,0.1603,2.49766
NITROGEN,NEUTRAL DISS ABOVE IONIS. ENERGY,16.6,0.075,3.65148
NITROGEN,BREMSSTRAHLUNG FROM NITROGEN ATOMS,,0.0,0.0
