Gas,Proceso,Energia,Eventos,Error%
NITROGEN,VIBRATION 6V1,1.6801,20.8452,0.21903
NITROGEN,VIBRATION 7V1,1.9475,1.5907,0.79288
NITROGEN,VIBRATION 8V1,2.2115,0.3812,1.61966
NITROGEN,VIBRATION 9V1,2.4718,0.1604,2.49688
NITROGEN,VIBRATION 10V1,2.7284,0.0715,3.73979
NITROGEN,VIBRATION 11V1,2.9815,0.0119,9.16698
NITROGEN,VIBRATION 12V1,3.231,0.0024,20.41241
NITROGEN,VIBRATION 13V1,3.4769,0.0014,26.72612
NITROGEN,VIBRATION 14V1,3.7191,0.0017,24.25356
NITROGEN,VIBRATION 15V1,3.9576,0.0024,20.41241
NITROGEN,A3SIG V=0-4,6.725,6.1969,0.40171
NITROGEN,A3SIG V=5-9,7.36,14.5517,0.26215
NITROGEN,B 3PI V=0-3,7.744,19.6075,0.22583
NITROGEN,W3DEL V=0-5,8.05,1.7065,0.7655
NITROGEN,A3SIG V=10-21,8.217,8.5589,0.34181
NITROGEN,B 3PI V=4-16,8.451,11.3421,0.29693
NITROGEN,W3DEL V=6-10,8.729,3.0356,0.57395
NITROGEN,A 1PI V=0-3,8.95,1.7624,0.75326
NITROGEN,B!3SIG V=0-6,8.974,0.2639,1.94662
NITROGEN,A!1SIG V=0-6,9.191,0.2258,2.10445
NITROGEN,W3DEL V=11-19,9.562,1.4094,0.84233
NITROGEN,W 1DEL V=0-5,9.59,0.1993,2.23999
NITROGEN,A 1PI V=4-15,9.665,1.482,0.82144
NITROGEN,B!3SIG V=7-18,9.933,0.4961,1.41976
NITROGEN,A!1SIG V=7-19,10.174,0.313,1.78743
NITROGEN,W 1DEL V=6-18,10.536,0.264,1.94625
NITROGEN,C 3PI V=0-4,11.188,1.3689,0.8547
NITROGEN,E 3SIG,11.875,0.1583,2.51339
NITROGEN,A!!1SIG V=0-1,12.289,0.0868,3.39422
NITROGEN,B 1PI V=0-6 F=0.1855,12.781,0.5721,1.3221
NITROGEN,C!1SIG V=0-3 F=0.1500,13.0,0.3483,1.69443
NITROGEN,G 3PI V=0-3,13.001,0.0467,4.62745
NITROGEN,C3 1PI V=0-3 F=0.1500,13.076,0.4222,1.53901
NITROGEN,F 3PI V=0-3,13.174,0.0246,6.37577
NITROGEN,B 1PI V=7-14 F=0.0663,13.338,0.1657,2.45662
NITROGEN,B!1SIG V=0-10 F=0.0601,13.385,0.1582,2.51418
