,N,P1,P2,P3,K1,K2,K3,K4
value,0.007148915349261959,0.10282372504719581,0.21962733295068484,0.03753244637022251,0.031868044145438944,0.07000000000000164,0.3103222764972401,0.3774941221380314
uncertainty,0.00021847421562913482,0.005613392199644467,0.009598160527244682,0.0021037924889792206,0.01171466667386287,0.03593410504088523,0.019674022201116463,0.24876206794138903
