concentration,electric_field,gap_mm,pressure,ne,ni,Ar_772,ErrAr_772
67.0,50.7,0.05,1.0,,,0.0,0.0
67.0,88.0,0.05,1.0,1259.115,1285.616,312.7895386839169,0.4984176473646874
20.0,10.0,0.57,0.05,180212.52,180055.68,17.235095541641613,0.009779448585846194
20.0,29.0,0.57,1.0,15804.8,18574.8,95.78223071471959,0.07784809175195567
10.0,38.7,0.05,1.0,,,0.0,0.0
10.0,78.0,0.05,1.0,1230.757,1234.643,734.7689267662097,0.7726614302147787
5.0,37.8,0.05,1.0,,,0.0,0.0
5.0,65.0,0.05,1.0,281.726,281.598,878.0481744673903,1.7654105094071129
100.0,10.0,0.57,0.025,34679.38,34468.1,0.0,0.0
100.0,43.0,0.57,1.0,5921.9,9414.9,0.0,0.0
100.0,55.9,0.05,1.0,,,0.0,0.0
100.0,95.0,0.05,1.0,1377.555,1415.164,0.0,0.0
