level,gas,state_name,type,energy_eV,n_events
166,N2, A!1SIG    V=0-6                  ELOSS=   9.191  ,excitation,9.191,726.0
167,N2, W3DEL     V=11-19                ELOSS=   9.562  ,excitation,9.562,3239.0
168,N2, W 1DEL    V=0-5                  ELOSS=   9.590  ,excitation,9.59,692.0
169,N2, A 1PI     V=4-15                 ELOSS=   9.665  ,excitation,9.665,5122.0
170,N2, B!3SIG    V=7-18                 ELOSS=   9.933  ,excitation,9.933,2177.0
171,N2, A!1SIG    V=7-19                 ELOSS=  10.174  ,excitation,10.174,1240.0
172,N2, W 1DEL    V=6-18                 ELOSS=  10.536  ,excitation,10.536,1376.0
173,N2, C 3PI     V=0-4                  ELOSS=  11.188  ,excitation,11.188,8304.0
174,N2, E 3SIG                           ELOSS=  11.875  ,excitation,11.875,956.0
175,N2, A!!1SIG   V=0-1                  ELOSS=  12.289  ,excitation,12.289,682.0
176,N2, B 1PI     V=0-6     F=0.1855     ELOSS=  12.781  ,excitation,12.781,1850.0
177,N2, C!1SIG    V=0-3     F=0.1500     ELOSS=  13.000  ,excitation,13.0,917.0
178,N2, G 3PI     V=0-3                  ELOSS=  13.001  ,excitation,13.001,420.0
179,N2, C3 1PI    V=0-3     F=0.1500     ELOSS=  13.076  ,excitation,13.076,1356.0
180,N2, F 3PI     V=0-3                  ELOSS=  13.174  ,excitation,13.174,186.0
181,N2, B 1PI     V=7-14    F=0.0663     ELOSS=  13.338  ,excitation,13.338,428.0
182,N2, B!1SIG    V=0-10    F=0.0601     ELOSS=  13.385  ,excitation,13.385,492.0
183,N2, O3 1PI    V=0-3     F=0.0828     ELOSS=  13.628  ,excitation,13.628,479.0
184,N2, C!1SIG    V=4-6     F=0.1390     ELOSS=  14.090  ,excitation,14.09,818.0
185,N2, B!1SIG    V=11-24   F=0.2650     ELOSS=  14.232  ,excitation,14.232,1576.0
186,N2, E!1SIG              F=0.0108     ELOSS=  14.36   ,excitation,14.36,56.0
187,N2, E 1PI               F=0.0237     ELOSS=  14.45   ,excitation,14.45,139.0
188,N2, SINGLET LEVEL       F=0.0117     ELOSS=  14.839  ,excitation,14.839,64.0
189,N2, SUM HIGH SINGLETS   F=0.1152     ELOSS=  15.2    ,excitation,15.2,438.0
190,N2, NEUTRAL DISS ABOVE IONIS. ENERGY ELOSS=  15.6    ,excitation,15.6,3174.0
191,N2, NEUTRAL DISS ABOVE IONIS. ENERGY ELOSS=  16.6    ,excitation,16.6,1163.0
