level,gas,state_name,type,energy_eV,n_events
0,N2, ELASTIC ANISOTROPIC          NITROGEN            ,elastic,0.0,347552559.0
1,N2, IONISATION N2+ X2SIGMA VIB=0     ELOSS=  15.581  ,ionisation,15.581,343754.0
2,N2, IONISATION N2+ X2SIGMA VIB>0     ELOSS=  15.855  ,ionisation,15.855,85073.0
3,N2, IONISATION N2+ A2PI    VIB=0     ELOSS=  16.699  ,ionisation,16.699,100347.0
4,N2, IONISATION N2+ A2PI    VIB=1     ELOSS=  16.935  ,ionisation,16.935,147838.0
5,N2, IONISATION N2+ A2PI    VIB>1     ELOSS=  17.171  ,ionisation,17.171,240954.0
6,N2, IONISATION N2+ B2SIGMA           ELOSS=  18.751  ,ionisation,18.751,113675.0
7,N2, IONISATION N2+ C2SIGMA           ELOSS=  23.591  ,ionisation,23.591,9992.0
8,N2," DISSOC ION (N+,N)                ELOSS=  24.294  ",ionisation,24.294,9567.0
9,N2," DISSOC ION (N+,N*)               ELOSS=  24.4    ",ionisation,24.4,1996.0
10,N2," DISSOC ION (N+*,N)               ELOSS=  35.7    ",ionisation,35.7,41.0
11,N2," DISSOC ION (N++,N) AND (N+,N+)   ELOSS=  38.8    ",ionisation,38.8,61.0
12,N2, ATTACHMENT                                       ,attachment,0.0,0.0
13,N2, ROTATION  2-0                    ELOSS=  -0.00148,superelastic,-0.00148008,258672.0
14,N2, ROTATION  3-1                    ELOSS=  -0.00247,superelastic,-0.0024668,220391.0
15,N2, ROTATION  4-2                    ELOSS=  -0.00345,superelastic,-0.00345352,579628.0
16,N2, ROTATION  5-3                    ELOSS=  -0.00444,superelastic,-0.00444024,341808.0
17,N2, ROTATION  6-4                    ELOSS=  -0.00543,superelastic,-0.00542696,746666.0
18,N2, ROTATION  7-5                    ELOSS=  -0.00641,superelastic,-0.00641368,385565.0
19,N2, ROTATION  8-6                    ELOSS=  -0.00740,superelastic,-0.0074004,764899.0
20,N2, ROTATION  9-7                    ELOSS=  -0.00839,superelastic,-0.00838712,363097.0
21,N2, ROTATION 10-8                    ELOSS=  -0.00937,superelastic,-0.00937384,669353.0
22,N2, ROTATION 11-9                    ELOSS=  -0.0104 ,superelastic,-0.0103606,298087.0
23,N2, ROTATION 12-10                   ELOSS=  -0.0113 ,superelastic,-0.0113473,517257.0
24,N2, ROTATION 13-11                   ELOSS=  -0.0123 ,superelastic,-0.012334,217462.0
25,N2, ROTATION 14-12                   ELOSS=  -0.0133 ,superelastic,-0.0133207,359345.0
26,N2, ROTATION 15-13                   ELOSS=  -0.0143 ,superelastic,-0.0143074,144044.0
27,N2, ROTATION 16-14                   ELOSS=  -0.0153 ,superelastic,-0.0152942,224274.0
28,N2, ROTATION 17-15                   ELOSS=  -0.0163 ,superelastic,-0.0162809,86621.0
29,N2, ROTATION 18-16                   ELOSS=  -0.0173 ,superelastic,-0.0172676,129084.0
30,N2, ROTATION 19-17                   ELOSS=  -0.0183 ,superelastic,-0.0182543,47000.0
31,N2, ROTATION 20-18                   ELOSS=  -0.0192 ,superelastic,-0.019241,66818.0
32,N2, ROTATION 21-19                   ELOSS=  -0.0202 ,superelastic,-0.0202278,23099.0
33,N2, ROTATION 22-20                   ELOSS=  -0.0212 ,superelastic,-0.0212145,31970.0
34,N2, ROTATION 23-21                   ELOSS=  -0.0222 ,superelastic,-0.0222012,10658.0
35,N2, ROTATION 24-22                   ELOSS=  -0.0232 ,superelastic,-0.0231879,13852.0
36,N2, ROTATION 25-23                   ELOSS=  -0.0242 ,superelastic,-0.0241746,4491.0
37,N2, ROTATION 26-24                   ELOSS=  -0.0252 ,superelastic,-0.0251614,5446.0
38,N2, ROTATION 27-25                   ELOSS=  -0.0261 ,superelastic,-0.0261481,1731.0
39,N2, ROTATION 28-26                   ELOSS=  -0.0271 ,superelastic,-0.0271348,2069.0
40,N2, ROTATION 29-27                   ELOSS=  -0.0281 ,superelastic,-0.0281215,609.0
41,N2, ROTATION 30-28                   ELOSS=  -0.0291 ,superelastic,-0.0291082,740.0
42,N2, ROTATION 31-29                   ELOSS=  -0.0301 ,superelastic,-0.030095,198.0
43,N2, ROTATION 32-30                   ELOSS=  -0.0311 ,superelastic,-0.0310817,241.0
44,N2, ROTATION 33-31                   ELOSS=  -0.0321 ,superelastic,-0.0320684,67.0
45,N2, ROTATION 34-32                   ELOSS=  -0.0331 ,superelastic,-0.0330551,71.0
46,N2, ROTATION 35-33                   ELOSS=  -0.0340 ,superelastic,-0.0340418,11.0
47,N2, ROTATION 36-34                   ELOSS=  -0.0350 ,superelastic,-0.0350286,19.0
48,N2, ROTATION 37-35                   ELOSS=  -0.0360 ,superelastic,-0.0360153,3.0
49,N2, ROTATION 38-36                   ELOSS=  -0.0370 ,superelastic,-0.037002,4.0
50,N2, ROTATION 39-37                   ELOSS=  -0.0380 ,superelastic,-0.0379887,0.0
51,N2, ROTATION 0-2                     ELOSS=   0.00148,inelastic,0.00148008,274102.0
52,N2, ROTATION 1-3                     ELOSS=   0.00247,inelastic,0.0024668,242625.0
53,N2, ROTATION 2-4                     ELOSS=   0.00345,inelastic,0.00345352,664176.0
54,N2, ROTATION 3-5                     ELOSS=   0.00444,inelastic,0.00444024,406249.0
55,N2, ROTATION 4-6                     ELOSS=   0.00543,inelastic,0.00542696,919505.0
56,N2, ROTATION 5-7                     ELOSS=   0.00641,inelastic,0.00641368,494231.0
57,N2, ROTATION 6-8                     ELOSS=   0.00740,inelastic,0.0074004,1017940.0
58,N2, ROTATION 7-9                     ELOSS=   0.00839,inelastic,0.00838712,503016.0
59,N2, ROTATION 8-10                    ELOSS=   0.00937,inelastic,0.00937384,962884.0
60,N2, ROTATION 9-11                    ELOSS=   0.0104 ,inelastic,0.0103606,446663.0
61,N2, ROTATION 10-12                   ELOSS=   0.0113 ,inelastic,0.0113473,804323.0
62,N2, ROTATION 11-13                   ELOSS=   0.0123 ,inelastic,0.012334,352702.0
63,N2, ROTATION 12-14                   ELOSS=   0.0133 ,inelastic,0.0133207,602301.0
64,N2, ROTATION 13-15                   ELOSS=   0.0143 ,inelastic,0.0143074,251202.0
65,N2, ROTATION 14-16                   ELOSS=   0.0153 ,inelastic,0.0152942,408333.0
66,N2, ROTATION 15-17                   ELOSS=   0.0163 ,inelastic,0.0162809,162678.0
67,N2, ROTATION 16-18                   ELOSS=   0.0173 ,inelastic,0.0172676,251246.0
68,N2, ROTATION 17-19                   ELOSS=   0.0183 ,inelastic,0.0182543,95384.0
69,N2, ROTATION 18-20                   ELOSS=   0.0192 ,inelastic,0.019241,141398.0
70,N2, ROTATION 19-21                   ELOSS=   0.0202 ,inelastic,0.0202278,51254.0
71,N2, ROTATION 20-22                   ELOSS=   0.0212 ,inelastic,0.0212145,73093.0
72,N2, ROTATION 21-23                   ELOSS=   0.0222 ,inelastic,0.0222012,25484.0
73,N2, ROTATION 22-24                   ELOSS=   0.0232 ,inelastic,0.0231879,34344.0
74,N2, ROTATION 23-25                   ELOSS=   0.0242 ,inelastic,0.0241746,11420.0
75,N2, ROTATION 24-26                   ELOSS=   0.0252 ,inelastic,0.0251614,14766.0
76,N2, ROTATION 25-27                   ELOSS=   0.0261 ,inelastic,0.0261481,4728.0
77,N2, ROTATION 26-28                   ELOSS=   0.0271 ,inelastic,0.0271348,5972.0
78,N2, ROTATION 27-29                   ELOSS=   0.0281 ,inelastic,0.0281215,1690.0
79,N2, ROTATION 28-30                   ELOSS=   0.0291 ,inelastic,0.0291082,2204.0
80,N2, ROTATION 29-31                   ELOSS=   0.0301 ,inelastic,0.030095,617.0
81,N2, ROTATION 30-32                   ELOSS=   0.0311 ,inelastic,0.0310817,713.0
82,N2, ROTATION 31-33                   ELOSS=   0.0321 ,inelastic,0.0320684,192.0
83,N2, ROTATION 32-34                   ELOSS=   0.0331 ,inelastic,0.0330551,223.0
84,N2, ROTATION 33-35                   ELOSS=   0.0340 ,inelastic,0.0340418,58.0
85,N2, ROTATION 34-36                   ELOSS=   0.0350 ,inelastic,0.0350286,51.0
86,N2, ROTATION 35-37                   ELOSS=   0.0360 ,inelastic,0.0360153,18.0
87,N2, ROTATION 36-38                   ELOSS=   0.0370 ,inelastic,0.037002,16.0
88,N2, ROTATION 37-39                   ELOSS=   0.0380 ,inelastic,0.0379887,5.0
89,N2, VIBRATION     V1                 ELOSS=  -0.2889 ,superelastic,-0.2889,106.0
90,N2, VIBRATION     V1                 ELOSS=   0.2889 ,inelastic,0.2889,9191684.0
91,N2, VIBRATION    2V1                 ELOSS=   0.5742 ,inelastic,0.5742,3795176.0
92,N2, VIBRATION    3V1                 ELOSS=   0.8559 ,inelastic,0.8559,2659496.0
93,N2, VIBRATION    4V1                 ELOSS=   1.1342 ,inelastic,1.1342,1545220.0
94,N2, VIBRATION    5V1                 ELOSS=   1.4088 ,inelastic,1.4088,897364.0
95,N2, VIBRATION    6V1                 ELOSS=   1.6801 ,inelastic,1.6801,723232.0
96,N2, VIBRATION    7V1                 ELOSS=   1.9475 ,inelastic,1.9475,238241.0
97,N2, VIBRATION    8V1                 ELOSS=   2.2115 ,inelastic,2.2115,85125.0
98,N2, VIBRATION    9V1                 ELOSS=   2.4718 ,inelastic,2.4718,41893.0
99,N2, VIBRATION   10V1                 ELOSS=   2.7284 ,inelastic,2.7284,17515.0
100,N2, VIBRATION   11V1                 ELOSS=   2.9815 ,inelastic,2.9815,4111.0
101,N2, VIBRATION   12V1                 ELOSS=   3.2310 ,inelastic,3.231,1105.0
102,N2, VIBRATION   13V1                 ELOSS=   3.4769 ,inelastic,3.4769,301.0
103,N2, VIBRATION   14V1                 ELOSS=   3.7191 ,inelastic,3.7191,79.0
104,N2, VIBRATION   15V1                 ELOSS=   3.9576 ,inelastic,3.9576,37.0
105,N2, A3SIG     V=0-4                  ELOSS=   6.725  ,excitation,6.725,355186.0
106,N2, A3SIG     V=5-9                  ELOSS=   7.360  ,excitation,7.36,1270229.0
107,N2, B 3PI     V=0-3                  ELOSS=   7.744  ,excitation,7.744,2169374.0
108,N2, W3DEL     V=0-5                  ELOSS=   8.050  ,excitation,8.05,459573.0
109,N2, A3SIG     V=10-21                ELOSS=   8.217  ,excitation,8.217,1147689.0
110,N2, B 3PI     V=4-16                 ELOSS=   8.451  ,excitation,8.451,1426007.0
111,N2, W3DEL     V=6-10                 ELOSS=   8.729  ,excitation,8.729,940091.0
112,N2, A 1PI     V=0-3                  ELOSS=   8.950  ,excitation,8.95,899247.0
113,N2, B!3SIG    V=0-6                  ELOSS=   8.974  ,excitation,8.974,181074.0
114,N2, A!1SIG    V=0-6                  ELOSS=   9.191  ,excitation,9.191,114963.0
115,N2, W3DEL     V=11-19                ELOSS=   9.562  ,excitation,9.562,543184.0
116,N2, W 1DEL    V=0-5                  ELOSS=   9.590  ,excitation,9.59,112293.0
117,N2, A 1PI     V=4-15                 ELOSS=   9.665  ,excitation,9.665,841256.0
118,N2, B!3SIG    V=7-18                 ELOSS=   9.933  ,excitation,9.933,375410.0
119,N2, A!1SIG    V=7-19                 ELOSS=  10.174  ,excitation,10.174,202270.0
