concentration,CF3,ErrCF3
0.001,0.1966,0.004433959877485483
0.002,0.416,0.0064498076859748656
0.005,1.0243000000000002,0.010120771829016257
0.01,2.0372000000000003,0.014273055728248569
0.02,4.037800000000001,0.02009428049502239
0.05,9.8153,0.03132937358356568
0.1,19.0325,0.04362627094303488
0.2,36.0685,0.060057010822610606
0.5,82.1832,0.09065521838041093
1.0,158.869,0.1260427707575189
