concentration,Ar_dbleStar,ErrAr_dbleStar
0.001,14.8266,0.038504680199999995
0.002,14.8413,0.038525046539999996
0.005,14.707,0.038349973200000005
0.01,14.5268,0.03811396516
0.02,14.3579,0.03789193389
0.05,13.5462,0.0368050254
0.1,12.291,0.035058848399999995
0.2,10.1976,0.0319337844
0.5,5.4307,0.02330367677
1.0,0.0,0.0
