concentration,Ar_3rd,ErrAr_3rd
0.001,22.468500000000002,0.04740130112755216
0.002,22.3778,0.04730606762808567
0.005,22.2501,0.04717016949138019
0.01,22.0433,0.046949745987277185
0.02,21.5216,0.046391390373273514
0.05,20.0045,0.04472710772819522
0.1,17.917199999999998,0.042329467488615095
0.2,14.1827,0.03765964421820496
0.5,6.7588,0.025997929411180558
1.0,0.0,0.0
