fCF4,1.0bar,Err 1.0bar,2.0bar,Err 2.0bar,3.0bar,Err 3.0bar,4.0bar,Err 4.0bar,5.0bar,Err 5.0bar
0.0,0.01536654085612083,0.009791353151903761,0.0068700579175882725,0.004377505029489869,0.003425017489504151,0.002182358653687618,0.0008027123818005261,0.0005114876857972366,0.0005042864314537116,0.00032133312950236346
0.1,0.013764176967716646,0.007724976848512066,0.007295913218259231,0.004094736580587013,0.0034222070351443657,0.0019206601747664693,0.0012736118979373963,0.000714800924626586,0.00014011426313526753,7.86426889524469e-05
0.2,0.01744912423479642,0.005669617688881706,0.006823242127860004,0.002216768134757014,0.0037346860039798395,0.0012134615423077492,0.0012675267047693097,0.00041183434287774413,4.796242880423599e-05,1.558263699956375e-05
0.5,0.013467793396333153,0.0025272852926500017,0.007688040674952163,0.0014426412516934978,0.00496771032689041,0.0009321435271972858,0.0038446469763688687,0.0007214326880519536,0.0019564971116166037,0.00036710704537044257
1.0,0.013622563601730692,0.0020368207593112193,0.004605913248554989,0.0006886378074530549,0.003008132406646408,0.0004497236900755483,0.0007220736738260091,0.0001079151759060012,0.0007011945540595554,0.00010487397445761799
2.0,0.015172517618813216,0.0010369797821261676,0.006363871709883739,0.0004349870143261215,0.004838852271899282,0.0003307874306801248,0.0031256892063049125,0.00021361296818270817,0.002638910465758646,0.00018028003666649824
5.0,0.010585092714075869,0.00220804941094517,0.005890686854263927,0.0017302443184685871,0.0041560754674444455,0.002448519336213,0.001850872339081458,0.001415150609759985,0.002042555340370794,0.0020545646517073283
10.0,0.006683938518996414,0.0007253888592781059,0.004238288665767503,0.0004599984184245385,0.001102161246407346,0.00011955687143869966,0.001178526963501717,0.00012785373015534494,0.0022382378342813286,0.0002428191471024833
20.0,0.005986016272592667,0.000649364813162244,0.005275492816958643,0.0005725138707645936,0.0030092368446006336,0.0003264261703025774,0.00218688425448966,0.00023724460754935136,0.004215902269685816,0.0004573982168959125
50.0,0.0034968665658017886,0.0003797338700920256,0.0026767720454016113,0.0002905148425923268,0.00324722840023487,0.00035226232783345054,0.003593977815043199,0.00038988185662710813,0.0034645598392845246,0.00037614307741617217
100.0,0.00023277097542734714,3.793210096966587e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
