fCF4,1.0bar,Err 1.0bar,2.0bar,Err 2.0bar,3.0bar,Err 3.0bar,4.0bar,Err 4.0bar,5.0bar,Err 5.0bar
0.0,0.006282497739315168,0.004003090883096089,0.0029969433987613306,0.0019096032077660053,0.0036850074484457594,0.002348031419258663,0.0015748534256745988,0.0010034666429512245,4.18080670252529e-05,2.6639225482420387e-05
0.1,0.0046287147307597365,0.0025977890932186564,0.0021157602786696147,0.0011874315998056482,0.0014964879575863766,0.0008398754004228533,0.0005637735134133003,0.0003164087036647561,0.0,0.0
0.2,0.003391028939130895,0.001101811657525904,0.0015425980567325777,0.0005026280768859865,5.92465926095505e-05,1.9255553419747367e-05,0.0,0.0,0.0,0.0
0.5,0.00249686099397424,0.00046847967783573855,0.0012795930940139608,0.00024010039159386043,0.0007585944963077117,0.00014230949980037648,0.0008723376422892132,0.000163646071764657,7.018207202496868e-05,1.3257719173152425e-05
1.0,0.0034784187891015077,0.0005199658965089106,5.7747984486873955e-05,9.121004516031678e-06,0.0,0.0,0.0009923732666706397,0.00014832191783302907,0.0,0.0
2.0,0.001600214798056373,0.00010915076406012545,0.0005641774539678568,3.855260914485275e-05,0.00030551430802901826,2.095922558882034e-05,0.0012913567740053611,8.809235861847554e-05,0.000952237705508174,6.495220355342171e-05
5.0,0.0008381567394457724,0.0008430847259898193,0.0012477422428092322,0.0006406768993932457,0.0015423330709115313,0.00026965950687981135,0.0015202217306042986,0.000987533809075547,0.0005580646623353657,0.0005613458328101331
10.0,0.00021708295332143853,2.5170211672066876e-05,0.0018244369139356355,0.00019791089012859874,0.0013823837391598642,0.00014996036087925547,0.0003803476782127454,4.185801866333651e-05,0.00261603349538949,0.00028379667688952556
20.0,0.0025917670337001304,0.00028248776083487925,0.0016193025992844157,0.00017579235962553042,0.002782082396154161,0.00030203376391050923,0.0026554987368107297,0.000288451812035353,0.003031385529313762,0.000328969148778593
50.0,0.0015762304245291877,0.00017166660299771812,0.0018352072750984065,0.00020007566652873997,0.0010903368551257332,0.00011893533335763788,0.0016391442404186706,0.0001782220058993648,0.0023729041572544875,0.00025837473313260385
100.0,0.00035570557379948465,5.809121981501077e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
