fCF4,1.0bar,Err 1.0bar,2.0bar,Err 2.0bar,3.0bar,Err 3.0bar,4.0bar,Err 4.0bar,5.0bar,Err 5.0bar
0.0,0.002570231336351853,0.0016377792125319838,0.002210183400850888,0.0014084078789188686,0.0008965804934525037,0.0005712841369463939,0.0021170419371154426,0.0013490141753807066,0.0,0.0
0.1,0.0005064118537582257,0.0002842122480379364,0.0008292628009442615,0.00046543294892914826,0.00044462460575434655,0.0002495555688248108,0.0,0.0,0.0,0.0
0.2,0.0021749762679214427,0.0007069162103595834,0.0003190437174085094,0.00010380083490844914,0.0,0.0,0.0,0.0,0.0,0.0
0.5,0.0009397808094380399,0.00017636482814870538,5.5701301817892924e-05,1.050697972135465e-05,0.0016654325513068323,0.0003125075336629536,0.0,0.0,0.0,0.0
1.0,0.003400185440154867,0.0005089766739198422,0.0,0.0,0.0010826389810427383,0.00016194616184085346,8.050775326224172e-05,1.225419648670825e-05,0.0,0.0
2.0,0.00377618309358514,0.00025863826202559447,0.0014568017590598666,0.0001002412082248514,7.289378175098192e-05,5.464412412287382e-06,0.002781845066424997,0.0001929209808931981,0.0002089201940045722,1.4494033259776058e-05
5.0,0.002110007118645541,0.0004033379302619219,0.0016070260485289327,0.001594260236722437,0.0006238834953385887,0.0006275516510967999,0.0024304574631603916,0.0021734332717370606,0.0,0.0
10.0,0.00020224824529173574,2.1969053071107045e-05,0.0012987979830343583,0.00014115373336150313,0.0016471340099820635,0.00017912031867657225,0.0014583180363444885,0.00015859254907699702,0.0001503444171191514,1.6308575938891742e-05
20.0,0.0012670090093428723,0.00013748860573357418,0.00090522712273042,9.901046546466847e-05,0.0006101355201287711,6.732828268248449e-05,0.002408918887525991,0.0002613995566055369,0.0016216091615020157,0.00017675876934387133
50.0,0.002194262997706341,0.0002444991198134324,0.0,0.0,0.0009966575379306746,0.00010837993115644328,0.0001516383115517558,1.6625615001995315e-05,0.0012685192414698418,0.00013778113874054004
100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
