fCF4,1.0bar,Err 1.0bar,2.0bar,Err 2.0bar,2.5bar,Err 2.5bar,3.0bar,Err 3.0bar,4.0bar,Err 4.0bar,5.0bar,Err 5.0bar
0.0,0.0757345992104538,0.00590667447122532,0.08435235099813065,0.010267247956579986,0.0,0.0,0.1010026906069396,0.014193957886155028,0.10351059941242728,0.015427642146722554,0.09527384065825542,0.016563993189107645
0.1,0.05739656012450252,0.005345172562722857,0.08391008149748025,0.011439027719371036,0.0,0.0,0.09054122050357992,0.013219042689744732,0.08989855498811748,0.015822809432461307,0.09435033629466773,0.016744885236883413
0.2,0.05431351903047048,0.007430539147500583,0.07873002787771557,0.012066355926415398,0.0,0.0,0.09733313967834549,0.014405868238127124,0.09346502047125772,0.01586898436915937,0.07638728653124441,0.014942198838581682
0.5,0.056796264032375816,0.007247690883697567,0.0859991933971524,0.011744949829564309,0.0,0.0,0.09341453680049962,0.015152763017408206,0.11027920117503338,0.017313054578183922,0.11788315717627305,0.018794768262432544
1.0,0.05769662371485769,0.008335501180520564,0.07164551713877904,0.012580002742743065,0.0,0.0,0.079890207300587,0.014729530603329082,0.09285000964953274,0.015733224987762886,0.09953186425272154,0.01722795758633269
2.0,0.07609179217532333,0.012187508868623888,0.08790217146916472,0.014805660249953235,0.0,0.0,0.10469745379791873,0.017229727948567447,0.10860474171711498,0.018165954184175683,0.11688077467871191,0.019916425003154197
5.0,0.12008474239879696,0.024652028710468333,0.1288114096346796,0.024040106986579657,0.0,0.0,0.13283694950148373,0.019820362347388147,0.14305218811139056,0.021145478107517338,0.14715305690682412,0.011942302076513136
10.0,0.19195136704234567,0.03163689160769719,0.20418129285289627,0.03553498697437276,0.0,0.0,0.2065187156235424,0.03482282208445595,0.21762368053336859,0.03583660732341819,0.21942486280244727,0.03739598340166379
20.0,0.2922634705588626,0.04608313272188466,0.30462615374466623,0.04876589403343695,0.0,0.0,0.3036138834974625,0.048413851550099134,0.32030553037683385,0.05014578987837322,0.3480799199896489,0.05504484650990912
50.0,0.5074742001410487,0.07771944000525403,0.5038684003863608,0.07813318627755556,0.0,0.0,0.5019685592624562,0.07778721500188643,0.4958141057197907,0.07659685259989907,0.5060275532826001,0.07755145095400312
100.0,0.9002312009597964,0.14120683507496834,0.0,0.0,0.8491885393784194,0.13296029369058726,0.0,0.0,0.6958206790012113,0.10844140086729781,0.0,0.0
