,N,P1,P2,P3,K1,K2,K3,K4,K5,P4
value,0.21890485930348458,0.11180466531800229,0.20972272979167925,0.041169576696323484,0.005829893932765579,0.06500000000019955,0.31258719468080437,50.00000000000563,0.4274410533952653,0.004180123460007818
uncertainty,0.01119779778373616,0.0078618053759061,0.013218482488972269,0.0030518617980759663,0.003026848606924307,0.029415818950370463,0.019997429888623606,25.42741173069071,0.05313435571377423,0.004011510167458571
