,N,P1,P2,P3,K1,K2,K3,K4,K5
value,0.21119252701952582,0.11546089374064401,0.21628840287062712,0.042745004446716334,0.004348756929751587,0.06500000000000002,0.3293079743356409,50.00000000000001,0.4283850489288816
uncertainty,0.01273750898232791,0.006972702062598414,0.014541099785458308,0.0022294008086959235,0.003264353389728944,0.0444885677392547,0.02866776828684257,34.5072467760217,0.0673124088730005
