level,gas,state_name,type,energy_eV,n_events,n_collisions
0,Ar, ELASTIC ANISOTROPIC       ARGON                  ,elastic,0.0,283910842.0,0
1,Ar, IONISATION CHARGE STATE =1      ELOSS=   15.75961,ionisation,15.7596,7586185.0,0
2,Ar, IONISATION CHARGE STATE =2      ELOSS=   43.38928,ionisation,43.3893,12620.0,0
3,Ar, IONISATION CHARGE STATE =3      ELOSS=   84.124  ,ionisation,84.124,3.0,0
4,Ar, IONISATION L3 SHELL             ELOSS=  248.4    ,ionisation,248.4,0.0,0
5,Ar, IONISATION L2 SHELL             ELOSS=  250.6    ,ionisation,250.6,0.0,0
6,Ar, IONISATION L1 SHELL             ELOSS=  326.3    ,ionisation,326.3,0.0,0
7,Ar, ATTACHMENT                                       ,attachment,0.0,0.0,0
8,Ar, EXC 1S5    J=2 METASTABLE         ELEVEL= 11.548 ,excitation,11.548,396253.0,0
9,Ar, EXC 1S4    J=1 RESONANT           ELEVEL= 11.624 ,excitation,11.624,623623.0,0
10,Ar, EXC 1S3    J=0 METASTABLE         ELEVEL= 11.723 ,excitation,11.723,76379.0,0
11,Ar, EXC 1S2    J=1 RESONANT           ELEVEL= 11.828 ,excitation,11.828,1411441.0,0
12,Ar, EXC 2P10   J=1                    ELEVEL= 12.907 ,excitation,12.907,110084.0,0
13,Ar, EXC 2P9    J=3                    ELEVEL= 13.076 ,excitation,13.076,155712.0,0
14,Ar, EXC 2P8    J=2                    ELEVEL= 13.095 ,excitation,13.095,140516.0,0
15,Ar, EXC 2P7    J=1                    ELEVEL= 13.153 ,excitation,13.153,93732.0,0
16,Ar, EXC 2P6    J=2                    ELEVEL= 13.172 ,excitation,13.172,129077.0,0
17,Ar, EXC 2P5    J=0                    ELEVEL= 13.273 ,excitation,13.273,69061.0,0
18,Ar, EXC 2P4    J=1                    ELEVEL= 13.283 ,excitation,13.283,92016.0,0
19,Ar, EXC 2P3    J=2                    ELEVEL= 13.302 ,excitation,13.302,96837.0,0
