                                   
KineticEnergy   TotalStoppingPower     RangeCSDA      ProjectedRange
4.500E+02 2.075E+01 1.237E+01 1.236E+01 
5.000E+02 1.925E+01 1.487E+01 1.486E+01 
5.500E+02 1.801E+01 1.756E+01 1.755E+01 
6.000E+02 1.697E+01 2.042E+01 2.041E+01 
6.500E+02 1.608E+01 2.345E+01 2.343E+01 
7.000E+02 1.531E+01 2.664E+01 2.662E+01 
7.500E+02 1.464E+01 2.998E+01 2.996E+01 
8.000E+02 1.405E+01 3.347E+01 3.345E+01 
8.500E+02 1.352E+01 3.710E+01 3.707E+01 
9.000E+02 1.305E+01 4.086E+01 4.084E+01 
9.500E+02 1.263E+01 4.476E+01 4.473E+01 
1.000E+03 1.225E+01 4.878E+01 4.874E+01 
