                               

KineticEnergy   TotalStoppingPower     RangeCSDA      ProjectedRange
4.500E+02 1.906E+01 1.350E+01 1.348E+01 
5.000E+02 1.769E+01 1.622E+01 1.621E+01 
5.500E+02 1.656E+01 1.915E+01 1.913E+01 
6.000E+02 1.560E+01 2.226E+01 2.224E+01 
6.500E+02 1.479E+01 2.555E+01 2.553E+01 
7.000E+02 1.408E+01 2.902E+01 2.899E+01 
7.500E+02 1.347E+01 3.265E+01 3.262E+01 
8.000E+02 1.293E+01 3.644E+01 3.640E+01 
8.500E+02 1.245E+01 4.038E+01 4.034E+01 
9.000E+02 1.202E+01 4.447E+01 4.443E+01 
9.500E+02 1.164E+01 4.870E+01 4.865E+01 
1.000E+03 1.129E+01 5.306E+01 5.301E+01 
